branch,document_id,criterion_id,item_uid,clause_id,path,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,layer1a_issues,layer1b_flags,layer1c_warnings,layer1d_issues,all_layer1_codes,layer1_policy_bucket,layer1_policy_severity,layer1_policy_action_hint,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_execution_issue_count
A,NCT03416413,NCT03416413_exc__item7_C1,NCT03416413_exc__item7,C1,exclusion_criteria.children[6].children[0],other,inability to complete questionnaires,exists,null,,,non_computable,Inability or unwillingness to complete questionnaires,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item7_C2,NCT03416413_exc__item7,C2,exclusion_criteria.children[6].children[1],other,unwillingness to complete questionnaires,exists,null,,,non_computable,Inability or unwillingness to complete questionnaires,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item8_C1,NCT03416413_exc__item8,C1,exclusion_criteria.children[7],other,inability to attend follow-up appointments,exists,null,,,non_computable,Inability to attend follow-up appointments,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item9_C1,NCT03416413_exc__item9,C1,exclusion_criteria.children[8],other,patient currently included in a study of varicose vein treatment,exists,null,,,non_computable,Patient currently included in a study of varicose vein treatment,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item1_C1,NCT02121145_inc__item1,C1,inclusion_criteria.children[0].children[0],demographic,male subjects,exists,null,,,computable,Male or female subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item1_C2,NCT02121145_inc__item1,C2,inclusion_criteria.children[0].children[1].children[0],demographic,female subjects,exists,null,,,computable,female subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item1_C3,NCT02121145_inc__item1,C3,inclusion_criteria.children[0].children[1].children[1],other,aged =18 to =65 years,=,scalar,18,,computable,aged =18 to =65 years,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item2_C1,NCT02121145_inc__item2,C1,inclusion_criteria.children[1],condition,General good health,exists,null,,,computable,General good health as established by medical history and physical examination,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item3_C1,NCT02121145_inc__item3,C1,inclusion_criteria.children[2],other,written informed consent,exists,null,,,non_computable,Written informed consent,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item4_C1,NCT02121145_inc__item4,C1,inclusion_criteria.children[3].children[0],condition,childbearing,exists,null,,,computable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item4_C2,NCT02121145_inc__item4,C2,inclusion_criteria.children[3].children[1],condition,childbearing,exists,null,,,computable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item4_C3,NCT02121145_inc__item4,C3,inclusion_criteria.children[3].children[2],other,abstinence is acceptable,exists,null,,,partial,Abstinence is acceptable.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_inc__item5_C1,NCT02121145_inc__item5,C1,inclusion_criteria.children[4],other,available for all visits scheduled in this study,exists,null,,,partial,Available for all visits scheduled in this study.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item1_C1,NCT02121145_exc__item1,C1,exclusion_criteria.children[0],procedure,vaccination against typhoid fever,exists,null,,,partial,Vaccination against typhoid fever within 5 years before dosing.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item2_C1,NCT02121145_exc__item2,C1,exclusion_criteria.children[1].children[0],condition,clinical typhoid fever,exists,null,,,computable,History of clinical typhoid fever,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item2_C2,NCT02121145_exc__item2,C2,exclusion_criteria.children[1].children[1],condition,clinical paratyphoid A or B fever.,exists,null,,,computable,clinical paratyphoid A or B fever,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item2_C3,NCT02121145_exc__item2,C3,exclusion_criteria.children[1].children[2],condition,clinical paratyphoid A or B fever.,exists,null,,,computable,clinical paratyphoid A or B fever,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item3_C1,NCT02121145_exc__item3,C1,exclusion_criteria.children[2].children[0],procedure,immunization with any other vaccine (oral or parenteral),exists,null,,,partial,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,,,temporal_anchor_mismatch_from_source,,layer1c:temporal_anchor_mismatch_from_source,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:temporal_anchor_mismatch_from_source,1.0,1,0
A,NCT02121145,NCT02121145_exc__item3_C2,NCT02121145_exc__item3,C2,exclusion_criteria.children[2].children[1],procedure,vaccination,exists,null,,,computable,planned vaccination during the study,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item4_C1,NCT02121145_exc__item4,C1,exclusion_criteria.children[3].children[0],drug,antibiotics,exists,null,,,computable,Current intake of antibiotics,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item4_C2,NCT02121145_exc__item4,C2,exclusion_criteria.children[3].children[1],procedure,antibiotic therapy,<,scalar,8,days,computable,end of antibiotic therapy <8 days before first IMP administration,,,comparison_with_non_quantitative_entity,,layer1c:comparison_with_non_quantitative_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:comparison_with_non_quantitative_entity,1.0,1,0
A,NCT02121145,NCT02121145_exc__item5_C1,NCT02121145_exc__item5,C1,exclusion_criteria.children[4].children[0],drug,immunosuppressants,exists,null,,,computable,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item5_C2,NCT02121145_exc__item5,C2,exclusion_criteria.children[4].children[1],drug,immune-modifying drugs,exists,null,,,computable,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item5_C3,NCT02121145_exc__item5,C3,exclusion_criteria.children[4].children[2].children[0],drug,oral corticosteroids,=,scalar,0.5,mg/kg/d,computable,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item5_C4,NCT02121145_exc__item5,C4,exclusion_criteria.children[4].children[2].children[1],other,inhaled steroids are allowed,exists,null,,,partial,inhaled or topical steroids are allowed,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item5_C5,NCT02121145_exc__item5,C5,exclusion_criteria.children[4].children[3],other,topical steroids are allowed,exists,null,,,partial,inhaled or topical steroids are allowed,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item6_C1,NCT02121145_exc__item6,C1,exclusion_criteria.children[5].children[0],condition,gastrointestinal disease,exists,null,,,computable,Acute or chronic clinically significant gastrointestinal disease,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02121145,NCT02121145_exc__item6_C2,NCT02121145_exc__item6,C2,exclusion_criteria.children[5].children[1],condition,gastrointestinal disease,exists,null,,,computable,Acute or chronic clinically significant gastrointestinal disease,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item1_C1,NCT02243553_inc__item1,C1,inclusion_criteria.children[0],other,signed informed consent,exists,null,,,non_computable,Signed informed consent,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item2_C1,NCT02243553_inc__item2,C1,inclusion_criteria.children[1].children[0],condition,Healthy,exists,null,,,computable,Healthy subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item2_C2,NCT02243553_inc__item2,C2,inclusion_criteria.children[1].children[1],other,aged between 18 years and 45 years inclusive,between,range,"{""min"": 18, ""max"": 45}",years,computable,aged between 18 years and 45 years inclusive,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item3_C1,NCT02243553_inc__item3,C1,inclusion_criteria.children[2],lab,Weighing,>=,scalar,50,kg,computable,Weighing at least 50 kg,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C1,NCT02243553_inc__item4,C1,inclusion_criteria.children[3].children[0],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C2,NCT02243553_inc__item4,C2,inclusion_criteria.children[3].children[1],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C3,NCT02243553_inc__item4,C3,inclusion_criteria.children[3].children[2],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C4,NCT02243553_inc__item4,C4,inclusion_criteria.children[3].children[3],procedure,pharmacokinetic assessments for each biomarker,exists,null,,,non_computable,for pharmacokinetic assessments for each biomarker,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C5,NCT02243553_inc__item4,C5,inclusion_criteria.children[3].children[4],other,pharmacokinetic assessments are for TPV/r on Days 7-9,exists,null,,,partial,and TPV/r (Days 7-9 and 17-20),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item4_C6,NCT02243553_inc__item4,C6,inclusion_criteria.children[3].children[5],other,pharmacokinetic assessments are for TPV/r on Days 17-20,exists,null,,,partial,and TPV/r (Days 7-9 and 17-20),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item5_C1,NCT02243553_inc__item5,C1,inclusion_criteria.children[4],other,volunteers must be willing to complete all study-related activities,exists,null,,,non_computable,Volunteers must be willing to complete all study-related activities,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item6_C1,NCT02243553_inc__item6,C1,inclusion_criteria.children[5],other,volunteer must have a valid social security number,exists,null,,,partial,Each volunteer must have a valid social security number,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item7_C1,NCT02243553_inc__item7,C1,inclusion_criteria.children[6].children[0],other,volunteer must have acceptable medical history,exists,null,,,partial,must have acceptable medical history,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item7_C2,NCT02243553_inc__item7,C2,inclusion_criteria.children[6].children[1],lab,physical examination,exists,null,,,computable,physical examination,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_inc__item7_C3,NCT02243553_inc__item7,C3,inclusion_criteria.children[6].children[2],lab,acceptable laboratory test,exists,null,,,partial,laboratory test,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C1,NCT02243553_exc__item1,C1,exclusion_criteria.children[0].children[0],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C2,NCT02243553_exc__item1,C2,exclusion_criteria.children[0].children[1],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C3,NCT02243553_exc__item1,C3,exclusion_criteria.children[0].children[2],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C4,NCT02243553_exc__item1,C4,exclusion_criteria.children[0].children[3],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C5,NCT02243553_exc__item1,C5,exclusion_criteria.children[0].children[4],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C6,NCT02243553_exc__item1,C6,exclusion_criteria.children[0].children[5],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C7,NCT02243553_exc__item1,C7,exclusion_criteria.children[0].children[6],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item1_C8,NCT02243553_exc__item1,C8,exclusion_criteria.children[0].children[7],condition,allergy,exists,null,,,computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item2_C1,NCT02243553_exc__item2,C1,exclusion_criteria.children[1].children[0],observation,finding of the medical examination deviating from normal,exists,null,,,partial,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal",,,existence_operator_on_quantitative_phrase,,layer1c:existence_operator_on_quantitative_phrase,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:existence_operator_on_quantitative_phrase,1.0,1,0
A,NCT02243553,NCT02243553_exc__item2_C2,NCT02243553_exc__item2,C2,exclusion_criteria.children[1].children[1],observation,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",exists,null,,,non_computable,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",,,existence_operator_on_quantitative_phrase,,layer1c:existence_operator_on_quantitative_phrase,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:existence_operator_on_quantitative_phrase,1.0,1,0
A,NCT02243553,NCT02243553_exc__item3_C1,NCT02243553_exc__item3,C1,exclusion_criteria.children[2].children[0],condition,significant medical conditions,exists,null,,,partial,History or diagnosis of any significant medical conditions,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item3_C2,NCT02243553_exc__item3,C2,exclusion_criteria.children[2].children[1],condition,significant medical conditions,exists,null,,,partial,History or diagnosis of any significant medical conditions,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item4_C1,NCT02243553_exc__item4,C1,exclusion_criteria.children[3],lab,liver enzymes,exists,null,,,computable,Known elevated liver enzymes in past clinical trials with any compound (experimental or marketed),,,existence_operator_on_quantitative_phrase,,layer1c:existence_operator_on_quantitative_phrase,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:existence_operator_on_quantitative_phrase,1.0,1,0
A,NCT02243553,NCT02243553_exc__item5_C1,NCT02243553_exc__item5,C1,exclusion_criteria.children[4],condition,laboratory abnormalities,exists,null,,,computable,Clinically relevant laboratory abnormalities,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C1,NCT02243553_exc__item6,C1,exclusion_criteria.children[5].children[0],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C2,NCT02243553_exc__item6,C2,exclusion_criteria.children[5].children[1],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C3,NCT02243553_exc__item6,C3,exclusion_criteria.children[5].children[2],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C4,NCT02243553_exc__item6,C4,exclusion_criteria.children[5].children[3],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C5,NCT02243553_exc__item6,C5,exclusion_criteria.children[5].children[4],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C6,NCT02243553_exc__item6,C6,exclusion_criteria.children[5].children[5],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C7,NCT02243553_exc__item6,C7,exclusion_criteria.children[5].children[6],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C8,NCT02243553_exc__item6,C8,exclusion_criteria.children[5].children[7],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item6_C9,NCT02243553_exc__item6,C9,exclusion_criteria.children[5].children[8],condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,computable,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item7_C1,NCT02243553_exc__item7,C1,exclusion_criteria.children[6].children[0],condition,alcohol abuse,exists,null,,,computable,History of alcohol abuse,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item7_C2,NCT02243553_exc__item7,C2,exclusion_criteria.children[6].children[1],condition,use of any illicit drugs,exists,null,,,computable,use of any illicit drugs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item8_C1,NCT02243553_exc__item8,C1,exclusion_criteria.children[7],other,unable to abstain from more than one beer or alcohol equivalent per day for the duration of the study,exists,null,,,non_computable,Unable to abstain from more than one beer or alcohol equivalent per day for the duration of the study,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item9_C1,NCT02243553_exc__item9,C1,exclusion_criteria.children[8].children[0],observation,use of tobacco products,exists,null,,,partial,Use of tobacco products and/or history of smoking within the past 2 months,,,duration_marker_missing_from_temporal_context;temporal_marker_without_temporal_context,,layer1c:duration_marker_missing_from_temporal_context;layer1c:temporal_marker_without_temporal_context,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:duration_marker_missing_from_temporal_context|temporal_marker_without_temporal_context,1.0,2,0
A,NCT02243553,NCT02243553_exc__item9_C2,NCT02243553_exc__item9,C2,exclusion_criteria.children[8].children[1],observation,history of smoking,exists,null,,,computable,Use of tobacco products and/or history of smoking within the past 2 months,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item10_C1,NCT02243553_exc__item10,C1,exclusion_criteria.children[9].children[0],condition,Pregnant,exists,null,,,computable,Pregnant,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02243553,NCT02243553_exc__item10_C2,NCT02243553_exc__item10,C2,exclusion_criteria.children[9].children[1],other,breast feeding,exists,null,,,partial,breast feeding,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
