branch,document_id,criterion_id,item_uid,clause_id,final_decision,final_decision_severity,final_decision_reasons,final_decision_rule,entity_type,entity_text,operator,value_type,value,unit,computability,non_computable_reason,evidence_text,branch_a_risk_label,branch_a_leaf_support,branch_a_risk_score,branch_a_risk_reasons,branch_a_layer1_action_hint,branch_a_layer1_bucket,branch_a_layer1_severity,branch_b_semantic_grounding_risk_label,branch_b_execution_risk_label,branch_b_final_routing_decision,branch_b_semantic_grounding_support,branch_b_execution_support,branch_b_routing_reasons,branch_b_layer1_action_hint,branch_b_layer1_bucket,branch_b_layer1_severity,rescue_candidate_id,rescue_final_decision,rescue_apply_action,rescue_apply_status,rescue_changed_fields,rescue_skip_reason,rescue_selected_source,rescue_local_validation_status,hybrid_b_reference_decision,hybrid_b_reference_rule
A,NCT03416413,NCT03416413_exc__item7_C1,NCT03416413_exc__item7,C1,non_computable,2,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:non_computable,A_hybrid_from_B_non_computable,other,inability to complete questionnaires,exists,null,null,,non_computable,Operational/behavioral ability to complete questionnaires is not reliably represented as structured patient-level clinical data.,Inability or unwillingness to complete questionnaires,review_priority,0.25,0.75,no_bert_anchor|entity_not_grounded_in_evidence_or_item|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT03416413_exc__item7_C1__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""non_computable_reason""]",,B_current,pass,non_computable,B_non_computable
A,NCT03416413,NCT03416413_exc__item7_C2,NCT03416413_exc__item7,C2,non_computable,2,branch_a_non_computable,A_non_computable,other,unwillingness to complete questionnaires,exists,null,null,,non_computable,Subjective or operational criterion.,Inability or unwillingness to complete questionnaires,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT03416413,NCT03416413_exc__item8_C1,NCT03416413_exc__item8,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,inability to attend follow-up appointments,exists,null,null,,non_computable,Subjective or operational criterion.,Inability to attend follow-up appointments,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT03416413,NCT03416413_exc__item9_C1,NCT03416413_exc__item9,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,patient currently included in a study of varicose vein treatment,exists,null,null,,non_computable,Subjective or operational criterion.,Patient currently included in a study of varicose vein treatment,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item1_C1,NCT02121145_inc__item1,C1,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,demographic,male subjects,exists,null,null,,computable,,Male or female subjects,intermediate_support,0.6,0.4,no_bert_anchor,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_rescue_unresolved
A,NCT02121145,NCT02121145_inc__item1_C2,NCT02121145_inc__item1,C2,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,demographic,female subjects,exists,null,null,,computable,,female subjects,intermediate_support,0.6,0.4,no_bert_anchor,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_rescue_unresolved
A,NCT02121145,NCT02121145_inc__item1_C3,NCT02121145_inc__item1,C3,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,other,aged =18 to =65 years,=,scalar,18,,computable,,aged =18 to =65 years,intermediate_support,0.6,0.4,no_bert_anchor,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT02121145,NCT02121145_inc__item2_C1,NCT02121145_inc__item2,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,General good health,exists,null,null,,computable,,General good health as established by medical history and physical examination,high_support_not_auto_accept,0.99429,0.00571,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item3_C1,NCT02121145_inc__item3,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,written informed consent,exists,null,null,,non_computable,Subjective or operational criterion.,Written informed consent,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item4_C1,NCT02121145_inc__item4,C1,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,condition,childbearing,exists,null,null,,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,review_priority,0.512426,0.487574,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item4_C2,NCT02121145_inc__item4,C2,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,condition,childbearing,exists,null,null,,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,review_priority,0.512426,0.487574,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item4_C3,NCT02121145_inc__item4,C3,partial,1,branch_a_partial_computability,A_partial_computability,other,abstinence is acceptable,exists,null,null,,partial,Entity typing is weak and may require later review.,Abstinence is acceptable.,intermediate_support,0.6,0.4,no_bert_anchor|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_inc__item5_C1,NCT02121145_inc__item5,C1,partial,1,branch_a_partial_computability,A_partial_computability,other,available for all visits scheduled in this study,exists,null,null,,partial,Entity typing is weak and may require later review.,Available for all visits scheduled in this study.,intermediate_support,0.6,0.4,no_bert_anchor|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_exc__item1_C1,NCT02121145_exc__item1,C1,partial,1,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:partial,A_hybrid_from_B_partial,procedure,vaccination against typhoid fever,exists,null,null,,partial,Anchor event 'dosing' mapped to treatment_start; exact protocol-defined anchor may vary.,Vaccination against typhoid fever within 5 years before dosing.,review_priority,0.35,0.65,computability_partial|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02121145_exc__item1_C1__A_main_llm_rescue__value_or_operator_recovery,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""temporal_context"", ""history_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,partial,B_computability_review
A,NCT02121145,NCT02121145_exc__item2_C1,NCT02121145_exc__item2,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,clinical typhoid fever,exists,null,null,,computable,,History of clinical typhoid fever,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT02121145,NCT02121145_exc__item2_C2,NCT02121145_exc__item2,C2,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,condition,clinical paratyphoid A or B fever.,exists,null,null,,computable,,clinical paratyphoid A or B fever,review_priority,0.580982,0.419018,entity_not_in_leaf_evidence_but_in_item,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_optional_review_partial
A,NCT02121145,NCT02121145_exc__item2_C3,NCT02121145_exc__item2,C3,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,condition,clinical paratyphoid A or B fever.,exists,null,null,,computable,,clinical paratyphoid A or B fever,review_priority,0.580982,0.419018,entity_not_in_leaf_evidence_but_in_item,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_optional_review_partial
A,NCT02121145,NCT02121145_exc__item3_C1,NCT02121145_exc__item3,C1,human_review,3,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,A_hybrid_from_B_human_review,procedure,immunization with any other vaccine (oral or parenteral),exists,null,null,,partial,Anchor event 'study start' may not map cleanly to a patient-level timestamp; assumed treatment_start.,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,review_priority,0.35,0.65,computability_partial|quantitative_cue_not_represented|layer1_policy_mandatory_rescue_or_review|layer1_inventory_flag,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,,,,,,,,,,A__NCT02121145_exc__item3_C1__A_main_llm_rescue__value_or_operator_recovery,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""history_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,human_review,B_rescue_unresolved
A,NCT02121145,NCT02121145_exc__item3_C2,NCT02121145_exc__item3,C2,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,procedure,vaccination,exists,null,null,,computable,,planned vaccination during the study,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02121145,NCT02121145_exc__item4_C1,NCT02121145_exc__item4,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,drug,antibiotics,exists,null,null,,computable,,Current intake of antibiotics,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_semantic_high_risk
A,NCT02121145,NCT02121145_exc__item4_C2,NCT02121145_exc__item4,C2,human_review,3,branch_a_layer1_mandatory_rescue_or_review_remains,A_layer1_hard_issue,procedure,antibiotic therapy,<,scalar,8,days,computable,,end of antibiotic therapy <8 days before first IMP administration,review_priority,0.45,0.55,layer1_policy_mandatory_rescue_or_review|layer1_inventory_flag,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT02121145,NCT02121145_exc__item5_C1,NCT02121145_exc__item5,C1,human_review,3,candidate_selection_rescue_returned_human_review,A_rescue_unresolved,drug,immunosuppressants,exists,null,null,,computable,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,review_priority,0.35,0.65,quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02121145_exc__item5_C1__A_main_llm_rescue__value_or_operator_recovery,human_review,no_update,skipped,[],not_applicable_final_decision:human_review,B_current,fail,partial,B_partial_computability
A,NCT02121145,NCT02121145_exc__item5_C2,NCT02121145_exc__item5,C2,human_review,3,candidate_selection_rescue_returned_human_review,A_rescue_unresolved,drug,immune-modifying drugs,exists,null,null,,computable,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,review_priority,0.35,0.65,quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02121145_exc__item5_C2__A_main_llm_rescue__value_or_operator_recovery,human_review,no_update,skipped,[],not_applicable_final_decision:human_review,B_current,fail,partial,B_partial_computability
A,NCT02121145,NCT02121145_exc__item5_C3,NCT02121145_exc__item5,C3,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,drug,oral corticosteroids,=,scalar,0.5,mg/kg/d,computable,,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT02121145,NCT02121145_exc__item5_C4,NCT02121145_exc__item5,C4,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,other,inhaled steroids are allowed,exists,null,null,,partial,Entity typing is weak and may require later review.,inhaled or topical steroids are allowed,review_priority,0.25,0.75,no_bert_anchor|entity_not_grounded_in_evidence_or_item|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_rescue_unresolved
A,NCT02121145,NCT02121145_exc__item5_C5,NCT02121145_exc__item5,C5,partial,1,branch_a_partial_computability,A_partial_computability,other,topical steroids are allowed,exists,null,null,,partial,Entity typing is weak and may require later review.,inhaled or topical steroids are allowed,intermediate_support,0.6,0.4,no_bert_anchor|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_rescue_unresolved
A,NCT02121145,NCT02121145_exc__item6_C1,NCT02121145_exc__item6,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,gastrointestinal disease,exists,null,null,,computable,,Acute or chronic clinically significant gastrointestinal disease,high_support_not_auto_accept,0.992877,0.007123,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT02121145,NCT02121145_exc__item6_C2,NCT02121145_exc__item6,C2,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,gastrointestinal disease,exists,null,null,,computable,,Acute or chronic clinically significant gastrointestinal disease,high_support_not_auto_accept,0.992877,0.007123,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_computability_review
A,NCT02243553,NCT02243553_inc__item1_C1,NCT02243553_inc__item1,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,signed informed consent,exists,null,null,,non_computable,Subjective or operational criterion.,Signed informed consent,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02243553,NCT02243553_inc__item2_C1,NCT02243553_inc__item2,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,Healthy,exists,null,null,,computable,,Healthy subjects,high_support_not_auto_accept,0.99212,0.00788,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_computability_review
A,NCT02243553,NCT02243553_inc__item2_C2,NCT02243553_inc__item2,C2,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,other,aged between 18 years and 45 years inclusive,between,range,"{""max"": 45, ""min"": 18}",years,computable,,aged between 18 years and 45 years inclusive,intermediate_support,0.6,0.4,no_bert_anchor,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT02243553,NCT02243553_inc__item3_C1,NCT02243553_inc__item3,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,lab,Weighing,>=,scalar,50,kg,computable,,Weighing at least 50 kg,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_rescue_unresolved
A,NCT02243553,NCT02243553_inc__item4_C1,NCT02243553_inc__item4,C1,human_review,3,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,A_hybrid_from_B_human_review,procedure,hospitalized,exists,null,null,,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",review_priority,0.35,0.65,no_bert_anchor|computability_non_computable|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C1__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""entity_type"", ""temporal_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,human_review,B_rescue_unresolved
A,NCT02243553,NCT02243553_inc__item4_C2,NCT02243553_inc__item4,C2,human_review,3,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,A_hybrid_from_B_human_review,procedure,hospitalized,exists,null,null,,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",review_priority,0.35,0.65,no_bert_anchor|computability_non_computable|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C2__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""entity_type"", ""temporal_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,human_review,B_llm_verifier
A,NCT02243553,NCT02243553_inc__item4_C3,NCT02243553_inc__item4,C3,human_review,3,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,A_hybrid_from_B_human_review,procedure,hospitalized,exists,null,null,,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",review_priority,0.35,0.65,no_bert_anchor|computability_non_computable|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C3__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""entity_type"", ""temporal_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,human_review,B_rescue_unresolved
A,NCT02243553,NCT02243553_inc__item4_C4,NCT02243553_inc__item4,C4,non_computable,2,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:non_computable,A_hybrid_from_B_non_computable,procedure,pharmacokinetic assessments for each biomarker,exists,null,null,,non_computable,Protocol-required pharmacokinetic assessment plan (including 'each biomarker') is operational and not a patient-level baseline characteristic.,for pharmacokinetic assessments for each biomarker,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C4__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""entity_type"", ""computability"", ""non_computable_reason""]",,B_current,pass,non_computable,B_non_computable
A,NCT02243553,NCT02243553_inc__item4_C5,NCT02243553_inc__item4,C5,human_review,3,candidate_selection_rescue_returned_human_review,A_rescue_unresolved,other,pharmacokinetic assessments are for TPV/r on Days 7-9,exists,null,null,,partial,Entity typing is weak and may require later review.,and TPV/r (Days 7-9 and 17-20),review_priority,0.25,0.75,no_bert_anchor|entity_not_grounded_in_evidence_or_item|computability_partial|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C5__A_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review,B_current,fail,human_review,B_rescue_unresolved
A,NCT02243553,NCT02243553_inc__item4_C6,NCT02243553_inc__item4,C6,human_review,3,candidate_selection_rescue_returned_human_review,A_rescue_unresolved,other,pharmacokinetic assessments are for TPV/r on Days 17-20,exists,null,null,,partial,Entity typing is weak and may require later review.,and TPV/r (Days 7-9 and 17-20),review_priority,0.25,0.75,no_bert_anchor|entity_not_grounded_in_evidence_or_item|computability_partial|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item4_C6__A_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review,B_current,fail,human_review,B_rescue_unresolved
A,NCT02243553,NCT02243553_inc__item5_C1,NCT02243553_inc__item5,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,volunteers must be willing to complete all study-related activities,exists,null,null,,non_computable,Subjective or operational criterion.,Volunteers must be willing to complete all study-related activities,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02243553,NCT02243553_inc__item6_C1,NCT02243553_inc__item6,C1,partial,1,branch_a_partial_computability,A_partial_computability,other,volunteer must have a valid social security number,exists,null,null,,partial,Entity typing is weak and may require later review.,Each volunteer must have a valid social security number,intermediate_support,0.6,0.4,no_bert_anchor|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT02243553,NCT02243553_inc__item7_C1,NCT02243553_inc__item7,C1,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,other,volunteer must have acceptable medical history,exists,null,null,,partial,Entity typing is weak and may require later review.,must have acceptable medical history,review_priority,0.5,0.5,no_bert_anchor|entity_not_in_leaf_evidence_but_in_item|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_computability_review
A,NCT02243553,NCT02243553_inc__item7_C2,NCT02243553_inc__item7,C2,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,lab,physical examination,exists,null,null,,computable,,physical examination,intermediate_support,0.637849,0.362151,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT02243553,NCT02243553_inc__item7_C3,NCT02243553_inc__item7,C3,partial,1,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:partial,A_hybrid_from_B_partial,lab,acceptable laboratory test,exists,null,null,,partial,"Acceptable laboratory test results are not specified (no analytes, thresholds, or ranges provided).",laboratory test,review_priority,0.45,0.55,entity_not_grounded_in_evidence_or_item|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT02243553_inc__item7_C3__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""computability"", ""non_computable_reason""]",,B_current,pass,partial,B_partial_computability
A,NCT02243553,NCT02243553_exc__item1_C1,NCT02243553_exc__item1,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,allergy,exists,null,null,,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,partial,B_computability_review
