branch,document_id,criterion_id,item_uid,clause_id,final_decision,final_decision_severity,final_decision_reasons,final_decision_rule,entity_type,entity_text,operator,value_type,value,unit,computability,non_computable_reason,evidence_text,branch_b_semantic_grounding_risk_label,branch_b_execution_risk_label,branch_b_final_routing_decision,branch_b_semantic_grounding_support,branch_b_execution_support,branch_b_routing_reasons,branch_b_layer1_action_hint,branch_b_layer1_bucket,branch_b_layer1_severity,rescue_candidate_id,rescue_final_decision,rescue_apply_action,rescue_apply_status,rescue_changed_fields,rescue_skip_reason
B,NCT02121145,NCT02121145_exc__item3_C1,NCT02121145_exc__item3,C1,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,procedure,immunization with any other vaccine (oral or parenteral),exists,null,,,partial,,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,reference_review_priority,reference_intermediate_support,llm_verifier,0.5,0.6,layer1_policy_mandatory_verifier,mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,B__NCT02121145_exc__item3_C1__B_main_llm_rescue__temporal_context_recovery,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02121145,NCT02121145_exc__item3_C2,NCT02121145_exc__item3,C2,non_computable,2,branch_b_non_computable,B_non_computable,procedure,planned vaccination,exists,null,,,non_computable,,planned vaccination during the study,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item4_C1,NCT02121145_exc__item4,C1,human_review,3,branch_b_semantic_grounding_high_risk,B_semantic_high_risk,drug,antibiotics,exists,null,,,computable,,Current intake of antibiotics,reference_review_priority,reference_high_support_not_auto_accept,optional_llm_verifier_or_review,0.45,1.0,semantic_grounding_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item4_C2,NCT02121145_exc__item4,C2,partial,1,branch_b_partial_computability,B_partial_computability,therapy,end of antibiotic therapy,<,scalar,8,day,partial,,end of antibiotic therapy <8 days before first IMP administration,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,layer1_policy_soft_warning,continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,B__NCT02121145_exc__item4_C2__B_main_llm_rescue__value_or_operator_recovery,select_candidate,apply_selected_candidate_leaf,applied,"[""operator"", ""value"", ""value_type"", ""unit"", ""temporal_context"", ""non_computable_reason""]",
B,NCT02121145,NCT02121145_exc__item5_C1,NCT02121145_exc__item5,C1,partial,1,branch_b_partial_computability,B_partial_computability,drug,immunosuppressants (chronic administration >14 days),exists,null,,,partial,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item5_C2,NCT02121145_exc__item5,C2,partial,1,branch_b_partial_computability,B_partial_computability,drug,other immune-modifying drugs (chronic administration >14 days),exists,null,,,partial,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item5_C3,NCT02121145_exc__item5,C3,partial,1,branch_b_partial_computability,B_partial_computability,drug,oral corticosteroids (prednisolone or equivalent) dose,>=,scalar,0.5,mg/kg/d,partial,,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item5_C4,NCT02121145_exc__item5,C4,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,drug,inhaled steroids,not_exists,null,,,non_computable,,inhaled or topical steroids are allowed,reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,layer1_policy_mandatory_verifier,mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,B__NCT02121145_exc__item5_C4__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02121145,NCT02121145_exc__item5_C5,NCT02121145_exc__item5,C5,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,drug,topical steroids,not_exists,null,,,non_computable,,inhaled or topical steroids are allowed,reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,layer1_policy_mandatory_verifier,mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,B__NCT02121145_exc__item5_C5__B_main_llm_rescue__polarity_negation_repair,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02121145,NCT02121145_exc__item6_C1,NCT02121145_exc__item6,C1,partial,1,branch_b_partial_computability,B_partial_computability,condition,acute clinically significant gastrointestinal disease,exists,null,,,partial,,Acute or chronic clinically significant gastrointestinal disease,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item6_C2,NCT02121145_exc__item6,C2,partial,1,branch_b_computability_review,B_computability_review,condition,chronic clinically significant gastrointestinal disease,exists,null,,,partial,,Acute or chronic clinically significant gastrointestinal disease,reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.9,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item1_C1,NCT02243553_inc__item1,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,signed informed consent,exists,null,,,non_computable,,Signed informed consent,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item2_C1,NCT02243553_inc__item2,C1,partial,1,branch_b_computability_review,B_computability_review,observation,healthy subject,exists,null,,,partial,,Healthy subjects,reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.9,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item2_C2,NCT02243553_inc__item2,C2,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,demographic,age,between,range,"{""min"": 18, ""max"": 45}",year,computable,,aged between 18 years and 45 years inclusive,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,1.0,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item3_C1,NCT02243553_inc__item3,C1,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,vital,weight,>=,scalar,50,kg,computable,,Weighing at least 50 kg,reference_review_priority,reference_high_support_not_auto_accept,llm_verifier,0.35,1.0,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item3_C1__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02243553,NCT02243553_inc__item4_C1,NCT02243553_inc__item4,C1,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,procedure,hospitalized,exists,null,,,non_computable,,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item4_C1__B_main_llm_rescue__value_or_operator_recovery,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02243553,NCT02243553_inc__item4_C2,NCT02243553_inc__item4,C2,human_review,3,branch_b_final_routing_llm_verifier,B_llm_verifier,procedure,hospitalized,exists,null,,,non_computable,,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item4_C2__B_main_llm_rescue__value_or_operator_recovery,no_change,no_update,skipped,[],not_applicable_final_decision:no_change
B,NCT02243553,NCT02243553_inc__item4_C3,NCT02243553_inc__item4,C3,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,procedure,hospitalized,exists,null,,,non_computable,,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item4_C3__B_main_llm_rescue__value_or_operator_recovery,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02243553,NCT02243553_inc__item4_C4,NCT02243553_inc__item4,C4,non_computable,2,branch_b_non_computable,B_non_computable,procedure,pharmacokinetic assessments for each biomarker,exists,null,,,non_computable,,for pharmacokinetic assessments for each biomarker,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item4_C5,NCT02243553_inc__item4,C5,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,procedure,pharmacokinetic assessments for TPV/r,exists,null,,,non_computable,,and TPV/r (Days 7-9 and 17-20),reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item4_C5__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02243553,NCT02243553_inc__item4_C6,NCT02243553_inc__item4,C6,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,procedure,pharmacokinetic assessments for TPV/r,exists,null,,,non_computable,,and TPV/r (Days 7-9 and 17-20),reference_review_priority,reference_review_priority,llm_verifier,0.35,0.35,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02243553_inc__item4_C6__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02243553,NCT02243553_inc__item5_C1,NCT02243553_inc__item5,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,willing to complete all study-related activities,exists,null,,,non_computable,,Volunteers must be willing to complete all study-related activities,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item6_C1,NCT02243553_inc__item6,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,valid social security number,exists,null,,,non_computable,,Each volunteer must have a valid social security number,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item7_C1,NCT02243553_inc__item7,C1,partial,1,branch_b_computability_review,B_computability_review,observation,acceptable medical history,exists,null,,,partial,,must have acceptable medical history,reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,1.0,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item7_C2,NCT02243553_inc__item7,C2,partial,1,branch_b_partial_computability,B_partial_computability,procedure,acceptable physical examination,exists,null,,,partial,,physical examination,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_inc__item7_C3,NCT02243553_inc__item7,C3,partial,1,branch_b_partial_computability,B_partial_computability,lab,acceptable laboratory test,exists,null,,,partial,,laboratory test,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C1,NCT02243553_exc__item1,C1,partial,1,branch_b_computability_review,B_computability_review,observation,allergy to the study drugs,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.95,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C2,NCT02243553_exc__item1,C2,partial,1,branch_b_computability_review,B_computability_review,observation,allergy to the study drugs,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.95,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C3,NCT02243553_exc__item1,C3,partial,1,branch_b_partial_computability,B_partial_computability,observation,allergy to components of the study drugs,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C4,NCT02243553_exc__item1,C4,partial,1,branch_b_partial_computability,B_partial_computability,observation,allergy to components of the study drugs,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C5,NCT02243553_exc__item1,C5,partial,1,branch_b_partial_computability,B_partial_computability,observation,allergy to drugs of the study drugs' class,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C6,NCT02243553_exc__item1,C6,partial,1,branch_b_partial_computability,B_partial_computability,observation,allergy to drugs of the study drugs' class,exists,null,,,partial,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C7,NCT02243553_exc__item1,C7,non_computable,2,branch_b_non_computable,B_non_computable,observation,history of drug allergy contraindicating participation per physician opinion,exists,null,,,non_computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_review_priority,optional_llm_verifier_or_review,0.8,0.35,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02243553,NCT02243553_exc__item1_C8,NCT02243553_exc__item1,C8,non_computable,2,branch_b_non_computable,B_non_computable,observation,history of other allergy contraindicating participation per physician opinion,exists,null,,,non_computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",reference_intermediate_support,reference_review_priority,optional_llm_verifier_or_review,0.8,0.35,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
