branch,row_type,document_id,item_uid,clause_id,criterion_id,path,issues,pass1_clause_text,pass1_item_text,pass1_clause_type,pass1_is_negated,pass1_connector,evidence_in_pass1_clause_text,evidence_in_pass1_item_text,evidence_alignment_note,entity_type,entity_text,operator,value_type,value,temporal_context,evidence_text
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item7,C1,NCT03416413_exc__item7_C1,exclusion_criteria.children[6].children[0],,inability to complete questionnaires,Inability or unwillingness to complete questionnaires,,False,,False,True,evidence_in_item_text_only,other,inability to complete questionnaires,exists,null,null,null,Inability or unwillingness to complete questionnaires
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item7,C2,NCT03416413_exc__item7_C2,exclusion_criteria.children[6].children[1],,unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,,False,,False,True,evidence_in_item_text_only,other,unwillingness to complete questionnaires,exists,null,null,null,Inability or unwillingness to complete questionnaires
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item8,C1,NCT03416413_exc__item8_C1,exclusion_criteria.children[7],,inability to attend follow-up appointments,Inability to attend follow-up appointments,,False,,True,True,,other,inability to attend follow-up appointments,exists,null,null,null,Inability to attend follow-up appointments
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item9,C1,NCT03416413_exc__item9_C1,exclusion_criteria.children[8],,patient currently included in a study of varicose vein treatment,Patient currently included in a study of varicose vein treatment,,False,,True,True,,other,patient currently included in a study of varicose vein treatment,exists,null,null,null,Patient currently included in a study of varicose vein treatment
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item1,C1,NCT02121145_inc__item1_C1,inclusion_criteria.children[0].children[0],,male subjects,Male or female subjects aged =18 to =65 years,,False,,False,True,evidence_in_item_text_only,demographic,male subjects,exists,null,null,null,Male or female subjects
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item1,C2,NCT02121145_inc__item1_C2,inclusion_criteria.children[0].children[1].children[0],,female subjects,Male or female subjects aged =18 to =65 years,,False,,True,True,,demographic,female subjects,exists,null,null,null,female subjects
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item1,C3,NCT02121145_inc__item1_C3,inclusion_criteria.children[0].children[1].children[1],,aged =18 to =65 years,Male or female subjects aged =18 to =65 years,,False,,True,True,,other,aged =18 to =65 years,=,scalar,18,null,aged =18 to =65 years
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item2,C1,NCT02121145_inc__item2_C1,inclusion_criteria.children[1],,general good health as established by medical history and physical examination,General good health as established by medical history and physical examination,,False,,True,True,,condition,General good health,exists,null,null,null,General good health as established by medical history and physical examination
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item3,C1,NCT02121145_inc__item3_C1,inclusion_criteria.children[2],,written informed consent,Written informed consent,,False,,True,True,,other,written informed consent,exists,null,null,null,Written informed consent
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item4,C1,NCT02121145_inc__item4_C1,inclusion_criteria.children[3].children[0],,females of childbearing potential must agree to use an efficacious hormonal method of birth control during the study,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,,False,,False,True,evidence_in_item_text_only,condition,childbearing,exists,null,null,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item4,C2,NCT02121145_inc__item4_C2,inclusion_criteria.children[3].children[1],,females of childbearing potential must agree to use an efficacious barrier method of birth control during the study,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,,False,,False,True,evidence_in_item_text_only,condition,childbearing,exists,null,null,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item4,C3,NCT02121145_inc__item4_C3,inclusion_criteria.children[3].children[2],,abstinence is acceptable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,,False,,False,True,evidence_in_item_text_only,other,abstinence is acceptable,exists,null,null,null,Abstinence is acceptable.
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_inc__item5,C1,NCT02121145_inc__item5_C1,inclusion_criteria.children[4],,available for all visits scheduled in this study,Available for all visits scheduled in this study.,,False,,False,True,evidence_in_item_text_only,other,available for all visits scheduled in this study,exists,null,null,null,Available for all visits scheduled in this study.
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item1,C1,NCT02121145_exc__item1_C1,exclusion_criteria.children[0],,vaccination against typhoid fever within 5 years before dosing,Primary groups: Vaccination against typhoid fever within 5 years before dosing.,,False,,False,True,evidence_in_item_text_only,procedure,Vaccination against typhoid fever,exists,null,null,"{""relation"": ""within"", ""value"": 5, ""unit"": ""year"", ""anchor_event"": ""baseline""}",Vaccination against typhoid fever within 5 years before dosing.
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item2,C1,NCT02121145_exc__item2_C1,exclusion_criteria.children[1].children[0],,history of clinical typhoid fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",,False,,True,True,,condition,clinical typhoid fever,exists,null,null,null,History of clinical typhoid fever
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item2,C2,NCT02121145_exc__item2_C2,exclusion_criteria.children[1].children[1],,history of clinical paratyphoid A fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",,False,,False,True,evidence_in_item_text_only,condition,clinical paratyphoid A or B fever.,exists,null,null,null,clinical paratyphoid A or B fever
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item2,C3,NCT02121145_exc__item2_C3,exclusion_criteria.children[1].children[2],,history of clinical paratyphoid B fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",,False,,False,True,evidence_in_item_text_only,condition,clinical paratyphoid A or B fever.,exists,null,null,null,clinical paratyphoid A or B fever
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item3,C1,NCT02121145_exc__item3_C1,exclusion_criteria.children[2].children[0],,immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,,False,,True,True,,procedure,Immunization with any other vaccine (,exists,null,null,"{""relation"": ""within"", ""value"": 4, ""unit"": ""week"", ""anchor_event"": ""treatment_start""}",Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item3,C2,NCT02121145_exc__item3_C2,exclusion_criteria.children[2].children[1],,planned vaccination during the study,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,,False,,True,True,,procedure,vaccination,exists,null,null,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",planned vaccination during the study
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item4,C1,NCT02121145_exc__item4_C1,exclusion_criteria.children[3].children[0],,current intake of antibiotics,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,,False,,True,True,,drug,antibiotics,exists,null,null,null,Current intake of antibiotics
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item4,C2,NCT02121145_exc__item4_C2,exclusion_criteria.children[3].children[1],,end of antibiotic therapy <8 days before first IMP administration,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,,False,,True,True,,procedure,antibiotic therapy,<,scalar,8,"{""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",end of antibiotic therapy <8 days before first IMP administration
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item5,C1,NCT02121145_exc__item5_C1,exclusion_criteria.children[4].children[0],,chronic (longer than 14 days) administration of immunosuppressants within 6 months before the first dose of investigational vaccine,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,,False,,False,True,evidence_in_item_text_only,drug,immunosuppressants,exists,null,null,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item5,C2,NCT02121145_exc__item5_C2,exclusion_criteria.children[4].children[1],,chronic (longer than 14 days) administration of other immune-modifying drugs within 6 months before the first dose of investigational vaccine,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,,False,,False,True,evidence_in_item_text_only,drug,immune-modifying drugs,exists,null,null,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item5,C3,NCT02121145_exc__item5_C3,exclusion_criteria.children[4].children[2].children[0],,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,,False,,False,True,evidence_in_item_text_only,drug,oral corticosteroids,=,scalar,0.5,null,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item5,C4,NCT02121145_exc__item5_C4,exclusion_criteria.children[4].children[2].children[1],,inhaled steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,,False,,False,True,evidence_in_item_text_only,other,inhaled steroids are allowed,exists,null,null,null,inhaled or topical steroids are allowed
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item5,C5,NCT02121145_exc__item5_C5,exclusion_criteria.children[4].children[3],,topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,,False,,False,True,evidence_in_item_text_only,other,topical steroids are allowed,exists,null,null,null,inhaled or topical steroids are allowed
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item6,C1,NCT02121145_exc__item6_C1,exclusion_criteria.children[5].children[0],,acute clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,,False,,False,True,evidence_in_item_text_only,condition,gastrointestinal disease,exists,null,null,null,Acute or chronic clinically significant gastrointestinal disease
A_bert_rules,pass2_leaf_check,NCT02121145,NCT02121145_exc__item6,C2,NCT02121145_exc__item6_C2,exclusion_criteria.children[5].children[1],,chronic clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,,False,,False,True,evidence_in_item_text_only,condition,gastrointestinal disease,exists,null,null,null,Acute or chronic clinically significant gastrointestinal disease
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item1,C1,NCT02243553_inc__item1_C1,inclusion_criteria.children[0],,signed informed consent,Signed informed consent,,False,,True,True,,other,signed informed consent,exists,null,null,null,Signed informed consent
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item2,C1,NCT02243553_inc__item2_C1,inclusion_criteria.children[1].children[0],,healthy subjects,Healthy subjects aged between 18 years and 45 years inclusive,,False,,True,True,,condition,Healthy,exists,null,null,null,Healthy subjects
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item2,C2,NCT02243553_inc__item2_C2,inclusion_criteria.children[1].children[1],,aged between 18 years and 45 years inclusive,Healthy subjects aged between 18 years and 45 years inclusive,,False,,True,True,,other,aged between 18 years and 45 years inclusive,between,range,"{""min"": 18, ""max"": 45}",null,aged between 18 years and 45 years inclusive
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item3,C1,NCT02243553_inc__item3_C1,inclusion_criteria.children[2],,weighing at least 50 kg,Weighing at least 50 kg,,False,,True,True,,lab,Weighing,>=,scalar,50,null,Weighing at least 50 kg
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C1,NCT02243553_inc__item4_C1,inclusion_criteria.children[3].children[0],,volunteers must be hospitalized on Days 1-4 for pharmacokinetic assessments,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,volunteers must be hospitalized on Days 1-4 for pharmacokinetic assessments,exists,null,null,null,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C2,NCT02243553_inc__item4_C2,inclusion_criteria.children[3].children[1],,volunteers must be hospitalized on Days 7-9 for pharmacokinetic assessments,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,volunteers must be hospitalized on Days 7-9 for pharmacokinetic assessments,exists,null,null,null,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C3,NCT02243553_inc__item4_C3,inclusion_criteria.children[3].children[2],,volunteers must be hospitalized on Days 17-20 for pharmacokinetic assessments,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,volunteers must be hospitalized on Days 17-20 for pharmacokinetic assessments,exists,null,null,null,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C4,NCT02243553_inc__item4_C4,inclusion_criteria.children[3].children[3],,pharmacokinetic assessments are for each biomarker,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,pharmacokinetic assessments are for each biomarker,exists,null,null,null,for pharmacokinetic assessments for each biomarker
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C5,NCT02243553_inc__item4_C5,inclusion_criteria.children[3].children[4],,pharmacokinetic assessments are for TPV/r on Days 7-9,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,pharmacokinetic assessments are for TPV/r on Days 7-9,exists,null,null,null,and TPV/r (Days 7-9 and 17-20)
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item4,C6,NCT02243553_inc__item4_C6,inclusion_criteria.children[3].children[5],,pharmacokinetic assessments are for TPV/r on Days 17-20,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments for each biomarker and TPV/r (Days 7-9 and 17-20)",,False,,False,True,evidence_in_item_text_only,other,pharmacokinetic assessments are for TPV/r on Days 17-20,exists,null,null,null,and TPV/r (Days 7-9 and 17-20)
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item5,C1,NCT02243553_inc__item5_C1,inclusion_criteria.children[4],,volunteers must be willing to complete all study-related activities,Volunteers must be willing to complete all study-related activities,,False,,True,True,,other,volunteers must be willing to complete all study-related activities,exists,null,null,null,Volunteers must be willing to complete all study-related activities
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item6,C1,NCT02243553_inc__item6_C1,inclusion_criteria.children[5],,volunteer must have a valid social security number,Each volunteer must have a valid social security number,,False,,False,True,evidence_in_item_text_only,other,volunteer must have a valid social security number,exists,null,null,null,Each volunteer must have a valid social security number
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item7,C1,NCT02243553_inc__item7_C1,inclusion_criteria.children[6].children[0],,volunteer must have acceptable medical history,"Each volunteer must have acceptable medical history, physical examination and laboratory test",,False,,True,True,,other,volunteer must have acceptable medical history,exists,null,null,null,must have acceptable medical history
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item7,C2,NCT02243553_inc__item7_C2,inclusion_criteria.children[6].children[1],,volunteer must have acceptable physical examination,"Each volunteer must have acceptable medical history, physical examination and laboratory test",,False,,True,True,,lab,physical examination,exists,null,null,null,physical examination
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_inc__item7,C3,NCT02243553_inc__item7_C3,inclusion_criteria.children[6].children[2],,volunteer must have acceptable laboratory test,"Each volunteer must have acceptable medical history, physical examination and laboratory test",,False,,True,True,,lab,laboratory test,exists,null,null,null,laboratory test
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C1,NCT02243553_exc__item1_C1,exclusion_criteria.children[0].children[0],,history of allergy to the study drugs,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C2,NCT02243553_exc__item1_C2,exclusion_criteria.children[0].children[1],,presence of allergy to the study drugs,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C3,NCT02243553_exc__item1_C3,exclusion_criteria.children[0].children[2],,history of allergy to the study drugs' components,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C4,NCT02243553_exc__item1_C4,exclusion_criteria.children[0].children[3],,presence of allergy to the study drugs' components,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C5,NCT02243553_exc__item1_C5,exclusion_criteria.children[0].children[4],,history of allergy to drugs of the study drugs' class,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C6,NCT02243553_exc__item1_C6,exclusion_criteria.children[0].children[5],,presence of allergy to drugs of the study drugs' class,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C7,NCT02243553_exc__item1_C7,exclusion_criteria.children[0].children[6],,"history of drug allergy that, in the opinion of the physician responsible, contraindicates their participation","History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item1,C8,NCT02243553_exc__item1_C8,exclusion_criteria.children[0].children[7],,"history of other allergy that, in the opinion of the physician responsible, contraindicates their participation","History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,False,,False,True,evidence_in_item_text_only,condition,allergy,exists,null,null,null,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item2,C1,NCT02243553_exc__item2_C1,exclusion_criteria.children[1].children[0],,any finding of the medical examination deviating from normal,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",,False,,False,True,evidence_in_item_text_only,other,any finding of the medical examination deviating from normal,exists,null,null,null,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item2,C2,NCT02243553_exc__item2_C2,exclusion_criteria.children[1].children[1],,any finding of the medical examination of clinical relevance,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",,False,,False,True,evidence_in_item_text_only,other,any finding of the medical examination of clinical relevance,exists,null,null,null,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance"
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item3,C1,NCT02243553_exc__item3_C1,exclusion_criteria.children[2].children[0],,history of any significant medical conditions,"History or diagnosis of any significant medical conditions: Including but not limited to gastrointestinal, hepatic, renal, respiratory, cardiovascular, metabolic, immunologic, hematological, psychiatric, neurological, oncological or hormonal disorders",,False,,False,True,evidence_in_item_text_only,condition,medical conditions,exists,null,null,null,History or diagnosis of any significant medical conditions
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item3,C2,NCT02243553_exc__item3_C2,exclusion_criteria.children[2].children[1],,diagnosis of any significant medical conditions,"History or diagnosis of any significant medical conditions: Including but not limited to gastrointestinal, hepatic, renal, respiratory, cardiovascular, metabolic, immunologic, hematological, psychiatric, neurological, oncological or hormonal disorders",,False,,False,True,evidence_in_item_text_only,condition,medical conditions,exists,null,null,null,History or diagnosis of any significant medical conditions
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item4,C1,NCT02243553_exc__item4_C1,exclusion_criteria.children[3],,known elevated liver enzymes in past clinical trials with any compound (experimental or marketed),Known elevated liver enzymes in past clinical trials with any compound (experimental or marketed),,False,,True,True,,lab,liver enzymes,exists,null,null,null,Known elevated liver enzymes in past clinical trials with any compound (experimental or marketed)
A_bert_rules,pass2_leaf_check,NCT02243553,NCT02243553_exc__item5,C1,NCT02243553_exc__item5_C1,exclusion_criteria.children[4],,clinically relevant laboratory abnormalities,"Clinically relevant laboratory abnormalities (e.g. Hgb<11g/dL, Hct<30g/dL, total cholesterol >240mg/dL, triglycerides >500mg/dL, fasting glucose >130mg/dL, liver function tests >2.5x upper limit of normal, baseline international normalized ratio >1.2)",,False,,True,True,,condition,laboratory abnormalities,exists,null,null,null,Clinically relevant laboratory abnormalities
