review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,logic_chain,clause_id,clause_text,evidence_text,is_negated,connector_to_next,quantifier,A_post_leaf,B_post_leaf,A_final_decision,A_final_decision_rule,A_final_decision_reasons,B_final_decision,B_final_decision_rule,B_final_decision_reasons,cross_chosen_branch,cross_chosen_decision,cross_branch_reason,A_rescue_apply_status,A_rescue_final_decision,A_rescue_changed_fields,A_rescue_skip_reason,B_rescue_apply_status,B_rescue_final_decision,B_rescue_changed_fields,B_rescue_skip_reason,manual_A_post_leaf_label,manual_B_post_leaf_label,manual_A_post_issue_type,manual_B_post_issue_type,manual_post_notes,manual_A_pre_leaf_label_reference_only,manual_A_pre_issue_type_reference_only,A_leaf_changed_post_vs_pre,manual_B_pre_leaf_label_reference_only,manual_B_pre_issue_type_reference_only,B_leaf_changed_post_vs_pre,A_pre_to_post_change,B_pre_to_post_change,B_vs_A_post,manual_inferred_best_branch_A_B_post,manual_chosen_branch_post_label
I00001,NCT00319748,NCT00319748_inc,NCT00319748_inc__item1,1,inclusion,simple,Adequate performance status:,C1: adequate performance status,C1,adequate performance status,Adequate performance status:,0,,,entity_type=lab | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Performance status scale and threshold for 'adequate' (e.g., ECOG/Karnofsky) not specified.",human_review,A_layer2_high_risk,branch_a_layer2_high_risk_after_rescue,partial,B_computability_review,branch_b_computability_review,B,partial,selected_B_because_partial_has_best_available_status,,,,,,,,,partial,partial,missing_threshold; bad_entity_type,missing_threshold,,partial,missing_threshold; bad_entity_type,0,partial,missing_threshold,0,same,same,B_same_as_A,tie,partial
I00006,NCT00319748,NCT00319748_inc,NCT00319748_inc__item6,6,inclusion,simple,Diagnosis of one of the following malignancies:,C1: diagnosis of one of the following malignancies,C1,diagnosis of one of the following malignancies,Diagnosis of one of the following malignancies:,0,,,entity_type=condition | entity=one of the following malignancies | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Specific malignancy types are not listed in this clause; cannot determine which diagnoses qualify.,entity_type=condition | entity=one of the following malignancies | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Specific malignancy types are not listed in this clause; cannot determine which diagnoses qualify.,partial,A_hybrid_from_B_partial,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:partial,partial,B_computability_review,branch_b_computability_review,B,partial,selected_B_because_partial_has_best_available_status,applied,select_candidate,"[""entity_text"", ""history_context"", ""computability"", ""non_computable_reason""]",,,,,,partial,partial,too_broad_entity,too_broad_entity,,partial,too_broad_entity,1,partial,too_broad_entity,0,same,same,B_same_as_A,tie,partial
I00007,NCT00319748,NCT00319748_inc,NCT00319748_inc__item7,7,inclusion,simple,Metastatic breast cancer (BR),C1: metastatic breast cancer,C1,metastatic breast cancer,Metastatic breast cancer (BR),0,,,entity_type=condition | entity=Metastatic breast cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic breast cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,accept,A_low_risk_accept,branch_a_low_risk_no_hard_issue,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,,,,,,,,,correct,correct,,,,correct,,0,correct,,0,same,same,B_same_as_A,tie,correct
I00008,NCT00319748,NCT00319748_inc,NCT00319748_inc__item8,8,inclusion,simple,Metastatic ovarian cancer (OV),C1: metastatic ovarian cancer,C1,metastatic ovarian cancer,Metastatic ovarian cancer (OV),0,,,entity_type=condition | entity=Metastatic ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,accept,A_low_risk_accept,branch_a_low_risk_no_hard_issue,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,,,,,,,,,correct,correct,,,,correct,,0,correct,,0,same,same,B_same_as_A,tie,correct
I00009,NCT00319748,NCT00319748_inc,NCT00319748_inc__item9,9,inclusion,simple,Metastatic endometrial cancer (EM),C1: metastatic endometrial cancer (EM),C1,metastatic endometrial cancer (EM),Metastatic endometrial cancer (EM),0,,,entity_type=condition | entity=endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic endometrial cancer (EM) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,accept,A_low_risk_accept,branch_a_low_risk_no_hard_issue,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,,,,,,,,,partial,correct,too_narrow_entity,,,partial,too_narrow_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00010,NCT00319748,NCT00319748_inc,NCT00319748_inc__item10,10,inclusion,simple,Metastatic cervical cancer (CX),C1: metastatic cervical cancer (CX),C1,metastatic cervical cancer (CX),Metastatic cervical cancer (CX),0,,,entity_type=condition | entity=cervical cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic cervical cancer (CX) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,accept,A_low_risk_accept,branch_a_low_risk_no_hard_issue,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,,,,,,,,,partial,correct,too_narrow_entity,,,partial,too_narrow_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00011,NCT00319748,NCT00319748_inc,NCT00319748_inc__item11,11,inclusion,quantifier,Measurable metastatic disease (>1cm) in at least one site other than bone-only,C1: measurable metastatic disease (>1cm) AND [AT_LEAST 1] C2: in at least one site other than bone-only,C1,measurable metastatic disease (>1cm),Measurable metastatic disease (>1cm),0,AND,,entity_type=condition | entity=metastatic disease | operator=> | value_type=scalar | value=1 | unit=cm | temporal= | history=None | computability=computable | reason=,"entity_type=condition | entity=measurable metastatic disease | operator=exists | value_type=scalar | value="">1 cm"" | unit=None | temporal= | history=current | computability=partial | reason=Measurability threshold is stated but the specific measurement modality/standard (e.g., RECIST target lesion longest diameter) is not specified.",accept,A_low_risk_accept,branch_a_low_risk_no_hard_issue,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,A,accept,selected_A_because_accept_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,partial,partial,wrong_entity,missing_threshold,,partial,wrong_entity,0,partial,missing_threshold,0,same,same,B_same_as_A,tie,partial
I00011,NCT00319748,NCT00319748_inc,NCT00319748_inc__item11,11,inclusion,quantifier,Measurable metastatic disease (>1cm) in at least one site other than bone-only,C1: measurable metastatic disease (>1cm) AND [AT_LEAST 1] C2: in at least one site other than bone-only,C2,in at least one site other than bone-only,in at least one site other than bone-only,0,,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=other | entity=in at least one site other than bone-only | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=metastatic disease present in at least one site other than bone-only | operator=exists | value_type=scalar | value="">=1 non-bone site (not bone-only)"" | unit=None | temporal= | history=current | computability=partial | reason=Requires determining metastatic sites and excluding bone-only disease; specific site documentation and definition of bone-only status may vary.",human_review,A_layer1_hard_issue,branch_a_layer1_mandatory_rescue_or_review_remains,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,correct,correct,,Both capture the site requirement,,correct,,0,correct,Both capture the site requirement,0,same,same,B_same_as_A,tie,correct
I00012,NCT00319748,NCT00319748_inc,NCT00319748_inc__item12,12,inclusion,quantifier,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,[AT_LEAST 1] C1: progression on at least one previous chemotherapy regimen for metastatic disease OR [AT_LEAST 1] C2: failure to respond to at least one previous chemotherapy regimen for metastatic disease,C1,progression on at least one previous chemotherapy regimen for metastatic disease,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,0,OR,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=condition | entity=metastatic disease | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=therapy | entity=progression on at least one previous chemotherapy regimen for metastatic disease | operator=exists | value_type=scalar | value="">=1 prior chemotherapy regimen for metastatic disease with progression"" | unit=None | temporal= | history=prior | computability=partial | reason=Requires linking metastatic disease setting with prior chemotherapy regimen count and documented progression; may not be consistently structured across records.",human_review,A_rescue_unresolved,candidate_selection_rescue_returned_human_review,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,skipped,human_review,[],not_applicable_final_decision:human_review,skipped,human_review,[],not_applicable_final_decision:human_review,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00012,NCT00319748,NCT00319748_inc,NCT00319748_inc__item12,12,inclusion,quantifier,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,[AT_LEAST 1] C1: progression on at least one previous chemotherapy regimen for metastatic disease OR [AT_LEAST 1] C2: failure to respond to at least one previous chemotherapy regimen for metastatic disease,C2,failure to respond to at least one previous chemotherapy regimen for metastatic disease,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,0,,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=condition | entity=metastatic disease | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=therapy | entity=failure to respond to at least one previous chemotherapy regimen for metastatic disease | operator=exists | value_type=scalar | value="">=1 prior chemotherapy regimen for metastatic disease with failure to respond"" | unit=None | temporal= | history=prior | computability=partial | reason=Response assessment and 'failure to respond' may be variably defined/documented and not consistently structured; also requires linking to metastatic disease setting and regimen count.",human_review,A_rescue_unresolved,candidate_selection_rescue_returned_human_review,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,skipped,human_review,[],not_applicable_final_decision:human_review,skipped,human_review,[],not_applicable_final_decision:human_review,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.","C1: progression on prior therapy with a hormonal agent if estrogen receptor positive OR C2: progression on prior therapy with a hormonal agent if progesterone receptor positive OR C3: progression on prior therapy with trastuzumab if HER2-neu positive AND C4: if patient has progressed through hormone therapy only, must have received one chemotherapy regimen OR C5: if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen",C1,progression on prior therapy with a hormonal agent if estrogen receptor positive,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive.",0,OR,,entity_type=lab | entity=estrogen receptor or progesterone receptor | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=therapy | entity=progression on prior therapy with a hormonal agent if estrogen receptor positive | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires conditional logic linking estrogen receptor positivity with progression on prior hormonal therapy; progression definition not specified.,human_review,A_layer1_hard_issue,branch_a_layer1_mandatory_rescue_or_review_remains,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.","C1: progression on prior therapy with a hormonal agent if estrogen receptor positive OR C2: progression on prior therapy with a hormonal agent if progesterone receptor positive OR C3: progression on prior therapy with trastuzumab if HER2-neu positive AND C4: if patient has progressed through hormone therapy only, must have received one chemotherapy regimen OR C5: if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen",C2,progression on prior therapy with a hormonal agent if progesterone receptor positive,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive.",0,OR,,entity_type=lab | entity=estrogen receptor or progesterone receptor | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=therapy | entity=progression on prior therapy with a hormonal agent if progesterone receptor positive | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires conditional logic linking progesterone receptor positivity with progression on prior hormonal therapy; progression definition not specified.,human_review,A_layer1_hard_issue,branch_a_layer1_mandatory_rescue_or_review_remains,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
