branch,document_id,path,criterion_id,item_uid,clause_id,entity_type,entity_text,operator,value_type,value,unit,temporal_context,history_context,computability,non_computable_reason,evidence_text,deterministic_issues,layer1a_action_category,layer1a_action_hint,layer1c_source_text_warnings,layer1c_action
A_post_rescue,NCT03416413,exclusion_criteria.children[8],NCT03416413_exc__item9_C1,NCT03416413_exc__item9,C1,other,patient currently included in a study of varicose vein treatment,exists,null,,,,current,non_computable,Subjective or operational criterion.,Patient currently included in a study of varicose vein treatment,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[0].children[0],NCT02121145_inc__item1_C1,NCT02121145_inc__item1,C1,demographic,male subjects,exists,null,,,,,computable,,Male or female subjects,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[0].children[1].children[0],NCT02121145_inc__item1_C2,NCT02121145_inc__item1,C2,demographic,female subjects,exists,null,,,,,computable,,female subjects,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[0].children[1].children[1],NCT02121145_inc__item1_C3,NCT02121145_inc__item1,C3,other,aged =18 to =65 years,=,scalar,18,,,,computable,,aged =18 to =65 years,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[1],NCT02121145_inc__item2_C1,NCT02121145_inc__item2,C1,condition,General good health,exists,null,,,,,computable,,General good health as established by medical history and physical examination,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[2],NCT02121145_inc__item3_C1,NCT02121145_inc__item3,C1,other,written informed consent,exists,null,,,,,non_computable,Subjective or operational criterion.,Written informed consent,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[3].children[0],NCT02121145_inc__item4_C1,NCT02121145_inc__item4,C1,condition,childbearing,exists,null,,,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[3].children[1],NCT02121145_inc__item4_C2,NCT02121145_inc__item4,C2,condition,childbearing,exists,null,,,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[3].children[2],NCT02121145_inc__item4_C3,NCT02121145_inc__item4,C3,other,abstinence is acceptable,exists,null,,,,,partial,Entity typing is weak and may require later review.,Abstinence is acceptable.,,no_action,,,no_action
A_post_rescue,NCT02121145,inclusion_criteria.children[4],NCT02121145_inc__item5_C1,NCT02121145_inc__item5,C1,other,available for all visits scheduled in this study,exists,null,,,,,partial,Entity typing is weak and may require later review.,Available for all visits scheduled in this study.,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[0],NCT02121145_exc__item1_C1,NCT02121145_exc__item1,C1,procedure,vaccination against typhoid fever,exists,null,,,"{""relation"": ""within"", ""value"": 5, ""unit"": ""year"", ""anchor_event"": ""treatment_start""}",prior,partial,Anchor event 'dosing' mapped to treatment_start; exact protocol-defined anchor may vary.,Vaccination against typhoid fever within 5 years before dosing.,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[1].children[0],NCT02121145_exc__item2_C1,NCT02121145_exc__item2,C1,condition,clinical typhoid fever,exists,null,,,,prior,computable,,History of clinical typhoid fever,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[1].children[1],NCT02121145_exc__item2_C2,NCT02121145_exc__item2,C2,condition,clinical paratyphoid A or B fever.,exists,null,,,,prior,computable,,clinical paratyphoid A or B fever,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[1].children[2],NCT02121145_exc__item2_C3,NCT02121145_exc__item2,C3,condition,clinical paratyphoid A or B fever.,exists,null,,,,prior,computable,,clinical paratyphoid A or B fever,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[2].children[0],NCT02121145_exc__item3_C1,NCT02121145_exc__item3,C1,procedure,immunization with any other vaccine (oral or parenteral),exists,null,,,"{""relation"": ""within"", ""value"": 4, ""unit"": ""week"", ""anchor_event"": ""treatment_start""}",prior,partial,Anchor event 'study start' may not map cleanly to a patient-level timestamp; assumed treatment_start.,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,,no_action,,temporal_anchor_mismatch_from_source,flag_only
A_post_rescue,NCT02121145,exclusion_criteria.children[2].children[1],NCT02121145_exc__item3_C2,NCT02121145_exc__item3,C2,procedure,vaccination,exists,null,,,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",,computable,,planned vaccination during the study,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[3].children[0],NCT02121145_exc__item4_C1,NCT02121145_exc__item4,C1,drug,antibiotics,exists,null,,,,current,computable,,Current intake of antibiotics,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[3].children[1],NCT02121145_exc__item4_C2,NCT02121145_exc__item4,C2,procedure,antibiotic therapy,<,scalar,8,days,"{""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",,computable,,end of antibiotic therapy <8 days before first IMP administration,,no_action,,comparison_with_non_quantitative_entity,flag_only
A_post_rescue,NCT02121145,exclusion_criteria.children[4].children[0],NCT02121145_exc__item5_C1,NCT02121145_exc__item5,C1,drug,immunosuppressants,exists,null,,,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",investigational_use,computable,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[4].children[1],NCT02121145_exc__item5_C2,NCT02121145_exc__item5,C2,drug,immune-modifying drugs,exists,null,,,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",investigational_use,computable,,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[4].children[2].children[0],NCT02121145_exc__item5_C3,NCT02121145_exc__item5,C3,drug,oral corticosteroids,=,scalar,0.5,mg/kg/d,,,computable,,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[4].children[2].children[1],NCT02121145_exc__item5_C4,NCT02121145_exc__item5,C4,other,inhaled steroids are allowed,exists,null,,,,,partial,Entity typing is weak and may require later review.,inhaled or topical steroids are allowed,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[4].children[3],NCT02121145_exc__item5_C5,NCT02121145_exc__item5,C5,other,topical steroids are allowed,exists,null,,,,,partial,Entity typing is weak and may require later review.,inhaled or topical steroids are allowed,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[5].children[0],NCT02121145_exc__item6_C1,NCT02121145_exc__item6,C1,condition,gastrointestinal disease,exists,null,,,,,computable,,Acute or chronic clinically significant gastrointestinal disease,,no_action,,,no_action
A_post_rescue,NCT02121145,exclusion_criteria.children[5].children[1],NCT02121145_exc__item6_C2,NCT02121145_exc__item6,C2,condition,gastrointestinal disease,exists,null,,,,,computable,,Acute or chronic clinically significant gastrointestinal disease,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[0],NCT02243553_inc__item1_C1,NCT02243553_inc__item1,C1,other,signed informed consent,exists,null,,,,,non_computable,Subjective or operational criterion.,Signed informed consent,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[1].children[0],NCT02243553_inc__item2_C1,NCT02243553_inc__item2,C1,condition,Healthy,exists,null,,,,,computable,,Healthy subjects,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[1].children[1],NCT02243553_inc__item2_C2,NCT02243553_inc__item2,C2,other,aged between 18 years and 45 years inclusive,between,range,"{""min"": 18, ""max"": 45}",years,,,computable,,aged between 18 years and 45 years inclusive,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[2],NCT02243553_inc__item3_C1,NCT02243553_inc__item3,C1,lab,Weighing,>=,scalar,50,kg,,,computable,,Weighing at least 50 kg,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[0],NCT02243553_inc__item4_C1,NCT02243553_inc__item4,C1,procedure,hospitalized,exists,null,,,"{""relation"": ""during"", ""value"": ""Days 1-4"", ""unit"": ""day"", ""anchor_event"": ""treatment_start""}",,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[1],NCT02243553_inc__item4_C2,NCT02243553_inc__item4,C2,procedure,hospitalized,exists,null,,,"{""relation"": ""during"", ""value"": ""Days 7-9"", ""unit"": ""day"", ""anchor_event"": ""treatment_start""}",,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[2],NCT02243553_inc__item4_C3,NCT02243553_inc__item4,C3,procedure,hospitalized,exists,null,,,"{""relation"": ""during"", ""value"": ""Days 17-20"", ""unit"": ""day"", ""anchor_event"": ""treatment_start""}",,non_computable,Requires protocol-specific inpatient hospitalization scheduling on study days rather than a patient clinical characteristic.,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[3],NCT02243553_inc__item4_C4,NCT02243553_inc__item4,C4,procedure,pharmacokinetic assessments for each biomarker,exists,null,,,,,non_computable,Protocol-required pharmacokinetic assessment plan (including 'each biomarker') is operational and not a patient-level baseline characteristic.,for pharmacokinetic assessments for each biomarker,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[4],NCT02243553_inc__item4_C5,NCT02243553_inc__item4,C5,other,pharmacokinetic assessments are for TPV/r on Days 7-9,exists,null,,,,,partial,Entity typing is weak and may require later review.,and TPV/r (Days 7-9 and 17-20),,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[3].children[5],NCT02243553_inc__item4_C6,NCT02243553_inc__item4,C6,other,pharmacokinetic assessments are for TPV/r on Days 17-20,exists,null,,,,,partial,Entity typing is weak and may require later review.,and TPV/r (Days 7-9 and 17-20),,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[4],NCT02243553_inc__item5_C1,NCT02243553_inc__item5,C1,other,volunteers must be willing to complete all study-related activities,exists,null,,,,,non_computable,Subjective or operational criterion.,Volunteers must be willing to complete all study-related activities,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[5],NCT02243553_inc__item6_C1,NCT02243553_inc__item6,C1,other,volunteer must have a valid social security number,exists,null,,,,,partial,Entity typing is weak and may require later review.,Each volunteer must have a valid social security number,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[6].children[0],NCT02243553_inc__item7_C1,NCT02243553_inc__item7,C1,other,volunteer must have acceptable medical history,exists,null,,,,,partial,Entity typing is weak and may require later review.,must have acceptable medical history,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[6].children[1],NCT02243553_inc__item7_C2,NCT02243553_inc__item7,C2,lab,physical examination,exists,null,,,,,computable,,physical examination,,no_action,,,no_action
A_post_rescue,NCT02243553,inclusion_criteria.children[6].children[2],NCT02243553_inc__item7_C3,NCT02243553_inc__item7,C3,lab,acceptable laboratory test,exists,null,,,,,partial,"Acceptable laboratory test results are not specified (no analytes, thresholds, or ranges provided).",laboratory test,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[0],NCT02243553_exc__item1_C1,NCT02243553_exc__item1,C1,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[1],NCT02243553_exc__item1_C2,NCT02243553_exc__item1,C2,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[2],NCT02243553_exc__item1_C3,NCT02243553_exc__item1,C3,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[3],NCT02243553_exc__item1_C4,NCT02243553_exc__item1,C4,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[4],NCT02243553_exc__item1_C5,NCT02243553_exc__item1,C5,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[5],NCT02243553_exc__item1_C6,NCT02243553_exc__item1,C6,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[6],NCT02243553_exc__item1_C7,NCT02243553_exc__item1,C7,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[0].children[7],NCT02243553_exc__item1_C8,NCT02243553_exc__item1,C8,condition,allergy,exists,null,,,,prior,computable,,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[1].children[0],NCT02243553_exc__item2_C1,NCT02243553_exc__item2,C1,observation,finding of the medical examination deviating from normal,exists,null,,,,current,partial,Requires determining whether a medical examination finding is 'deviating from normal' across potentially multiple measures without specifying which or thresholds.,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal",,no_action,,existence_operator_on_quantitative_phrase,flag_only
A_post_rescue,NCT02243553,exclusion_criteria.children[1].children[1],NCT02243553_exc__item2_C2,NCT02243553_exc__item2,C2,observation,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",exists,null,,,,current,non_computable,Clinical relevance is a subjective clinical judgment not reliably represented as structured patient-level data.,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",,no_action,,existence_operator_on_quantitative_phrase,flag_only
A_post_rescue,NCT02243553,exclusion_criteria.children[2].children[0],NCT02243553_exc__item3_C1,NCT02243553_exc__item3,C1,condition,significant medical conditions,exists,null,,,,prior,partial,Term 'significant' is subjective and not precisely defined; specific conditions are not enumerated in this clause.,History or diagnosis of any significant medical conditions,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[2].children[1],NCT02243553_exc__item3_C2,NCT02243553_exc__item3,C2,condition,significant medical conditions,exists,null,,,,current,partial,Term 'significant' is subjective and not precisely defined; specific conditions are not enumerated in this clause.,History or diagnosis of any significant medical conditions,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[3],NCT02243553_exc__item4_C1,NCT02243553_exc__item4,C1,lab,liver enzymes,exists,null,,,,,computable,,Known elevated liver enzymes in past clinical trials with any compound (experimental or marketed),,no_action,,existence_operator_on_quantitative_phrase,flag_only
A_post_rescue,NCT02243553,exclusion_criteria.children[4],NCT02243553_exc__item5_C1,NCT02243553_exc__item5,C1,condition,laboratory abnormalities,exists,null,,,,,computable,,Clinically relevant laboratory abnormalities,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[0],NCT02243553_exc__item6_C1,NCT02243553_exc__item6,C1,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[1],NCT02243553_exc__item6_C2,NCT02243553_exc__item6,C2,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[2],NCT02243553_exc__item6_C3,NCT02243553_exc__item6,C3,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[3],NCT02243553_exc__item6_C4,NCT02243553_exc__item6,C4,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[4],NCT02243553_exc__item6_C5,NCT02243553_exc__item6,C5,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[5],NCT02243553_exc__item6_C6,NCT02243553_exc__item6,C6,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[6],NCT02243553_exc__item6_C7,NCT02243553_exc__item6,C7,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[7],NCT02243553_exc__item6_C8,NCT02243553_exc__item6,C8,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[5].children[8],NCT02243553_exc__item6_C9,NCT02243553_exc__item6,C9,condition,"hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",exists,null,,,,prior,computable,,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[6].children[0],NCT02243553_exc__item7_C1,NCT02243553_exc__item7,C1,condition,alcohol abuse,exists,null,,,,prior,computable,,History of alcohol abuse,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[6].children[1],NCT02243553_exc__item7_C2,NCT02243553_exc__item7,C2,condition,use of any illicit drugs,exists,null,,,,,computable,,use of any illicit drugs,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[7],NCT02243553_exc__item8_C1,NCT02243553_exc__item8,C1,other,unable to abstain from more than one beer or alcohol equivalent per day for the duration of the study,exists,null,,,,,non_computable,Subjective or operational criterion.,Unable to abstain from more than one beer or alcohol equivalent per day for the duration of the study,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[8].children[0],NCT02243553_exc__item9_C1,NCT02243553_exc__item9,C1,observation,use of tobacco products,exists,null,,,,,partial,Tobacco product use is not time-bounded in the clause; may be ambiguous whether current or any prior use.,Use of tobacco products and/or history of smoking within the past 2 months,,no_action,,duration_marker_missing_from_temporal_context;temporal_marker_without_temporal_context,flag_only
A_post_rescue,NCT02243553,exclusion_criteria.children[8].children[1],NCT02243553_exc__item9_C2,NCT02243553_exc__item9,C2,observation,history of smoking,exists,null,,,"{""relation"": ""within"", ""value"": 2, ""unit"": ""month"", ""anchor_event"": ""screening""}",prior,computable,,Use of tobacco products and/or history of smoking within the past 2 months,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[9].children[0],NCT02243553_exc__item10_C1,NCT02243553_exc__item10,C1,condition,Pregnant,exists,null,,,,,computable,,Pregnant,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[9].children[1],NCT02243553_exc__item10_C2,NCT02243553_exc__item10,C2,other,breast feeding,exists,null,,,,,partial,Entity typing is weak and may require later review.,breast feeding,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[10].children[0],NCT02243553_exc__item11_C1,NCT02243553_exc__item11,C1,condition,Sexually active,exists,null,,,,,computable,,Sexually active women of childbearing age who do not use an acceptable barrier method of birth control,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[10].children[1],NCT02243553_exc__item11_C2,NCT02243553_exc__item11,C2,condition,childbearing age,exists,null,,,,,computable,,Sexually active women of childbearing age who do not use an acceptable barrier method of birth control,,no_action,,critical_qualifier_missing_from_entity,flag_only
A_post_rescue,NCT02243553,exclusion_criteria.children[10].children[2],NCT02243553_exc__item11_C3,NCT02243553_exc__item11,C3,other,use an acceptable barrier method of birth control,not_exists,null,,,,,computable,,do not use an acceptable barrier method of birth control,,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[11].children[0],NCT02243553_exc__item12_C1,NCT02243553_exc__item12,C1,condition,Hypersensitivity,exists,null,,,,,computable,,"Hypersensitivity to caffeine, warfarin, vitamin K, omeprazole, dextromethorphan, midazolam, tipranavir, ritonavir or their excipients",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[11].children[1],NCT02243553_exc__item12_C2,NCT02243553_exc__item12,C2,condition,Hypersensitivity,exists,null,,,,,computable,,"Hypersensitivity to caffeine, warfarin, vitamin K, omeprazole, dextromethorphan, midazolam, tipranavir, ritonavir or their excipients",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[11].children[2],NCT02243553_exc__item12_C3,NCT02243553_exc__item12,C3,condition,Hypersensitivity,exists,null,,,,,computable,,"Hypersensitivity to caffeine, warfarin, vitamin K, omeprazole, dextromethorphan, midazolam, tipranavir, ritonavir or their excipients",,no_action,,,no_action
A_post_rescue,NCT02243553,exclusion_criteria.children[11].children[3],NCT02243553_exc__item12_C4,NCT02243553_exc__item12,C4,condition,Hypersensitivity,exists,null,,,,,computable,,"Hypersensitivity to caffeine, warfarin, vitamin K, omeprazole, dextromethorphan, midazolam, tipranavir, ritonavir or their excipients",,no_action,,,no_action
