plan_id,branch_to_update,criterion_id,document_id,item_uid,clause_id,execution_group,execution_priority,rescue_strategy,rescue_task_type,include_A_current,include_B_current,allow_new_llm_candidate,max_llm_attempts,requires_llm,requires_reverification,safe_to_apply_without_llm,blocked_from_auto_apply,b_candidate_allowed,b_candidate_reason,selection_policy,why_selected,why_deferred_or_blocked,source_branch,source_run_stage,source_candidate_kind,source_issue_codes,source_risk_reasons,source_diagnosis_summary,branch_a_risk_label,branch_a_leaf_support,branch_b_final_routing_decision,branch_b_semantic_grounding_risk_label,branch_b_semantic_grounding_support,branch_b_execution_risk_label,branch_b_execution_support,manual_A_pre_label,manual_B_pre_label,manual_A_pre_label_raw,manual_B_pre_label_raw,manual_A_pre_issue_type,manual_B_pre_issue_type,manual_B_vs_A_pre,manual_A_pre_is_error,manual_B_pre_is_error,target_branch_pre_label,target_branch_pre_is_error,has_any_manual_pre_label
A__NCT01856491_exc__item3_C4__A_main_llm_rescue__conservative_structural_recovery,A,NCT01856491_exc__item3_C4,NCT01856491,NCT01856491_exc__item3,C4,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review|soft_warning:branch_b_non_computable,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,computable_with_exception_context;list_operator_without_list_value,,computable_with_exception_context;entity_not_grounded_in_evidence_or_item;execution_or_computability:computable_with_exception_context;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;no_bert_anchor;operator_value_not_structurally_supported,review_priority,0.25,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_review_priority,0.35,,,,,,,missing,0,0,,0,0
A__NCT02056626_inc__item1_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02056626_inc__item1_C1,NCT02056626,NCT02056626_inc__item1,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:keep_without_layer2_action,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;operator_value_not_structurally_supported;range_with_both_bounds_missing,review_priority,0.3,keep_without_layer2_action,reference_high_support_not_auto_accept,0.9,reference_high_support_not_auto_accept,1.0,,,,,,,missing,0,0,,0,0
A__NCT02201316_exc__item4_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02201316_exc__item4_C1,NCT02201316,NCT02201316_exc__item4,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:computability_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,duplicate_identical_leaf;list_operator_without_list_value,,duplicate_identical_leaf;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;operator_value_not_structurally_supported,review_priority,0.3,computability_review,reference_high_support_not_auto_accept,0.95,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
A__NCT02201316_exc__item4_C2__A_main_llm_rescue__conservative_structural_recovery,A,NCT02201316_exc__item4_C2,NCT02201316,NCT02201316_exc__item4,C2,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,duplicate_identical_leaf;list_operator_without_list_value,,duplicate_identical_leaf;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;operator_value_not_structurally_supported,review_priority,0.3,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
A__NCT02201316_inc__item4_C12__A_main_llm_rescue__conservative_structural_recovery,A,NCT02201316_inc__item4_C12,NCT02201316,NCT02201316_inc__item4,C12,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_non_computable,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,list_operator_without_list_value,,entity_not_grounded_in_evidence_or_item;hard_structural:list_operator_without_list_value;history_marker_without_history_context;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;no_bert_anchor;operator_value_not_structurally_supported,review_priority,0.25,llm_verifier,reference_review_priority,0.5,reference_review_priority,0.35,,,,,,,missing,0,0,,0,0
A__NCT02203019_inc__item4_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02203019_inc__item4_C1,NCT02203019,NCT02203019_inc__item4,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review|soft_warning:branch_b_non_computable,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,list_operator_without_list_value,,computability_non_computable;entity_not_grounded_in_evidence_or_item;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;no_bert_anchor;operator_value_not_structurally_supported,review_priority,0.25,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_review_priority,0.35,,,,,,,missing,0,0,,0,0
A__NCT02203019_inc__item4_C2__A_main_llm_rescue__conservative_structural_recovery,A,NCT02203019_inc__item4_C2,NCT02203019,NCT02203019_inc__item4,C2,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review|soft_warning:branch_b_non_computable,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,list_operator_without_list_value,,computability_non_computable;entity_not_grounded_in_evidence_or_item;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;no_bert_anchor;operator_value_not_structurally_supported,review_priority,0.25,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_review_priority,0.35,,,,,,,missing,0,0,,0,0
A__NCT02478515_exc__item4_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02478515_exc__item4_C1,NCT02478515,NCT02478515_exc__item4,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;operator_value_not_structurally_supported;range_with_both_bounds_missing;temporal_marker_without_temporal_context,review_priority,0.3,optional_llm_verifier_or_review,reference_review_priority,0.55,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
A__NCT02525991_inc__item1_C3__A_main_llm_rescue__conservative_structural_recovery,A,NCT02525991_inc__item1_C3,NCT02525991,NCT02525991_inc__item1,C3,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:keep_without_layer2_action,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;no_bert_anchor;operator_value_not_structurally_supported;range_with_both_bounds_missing,review_priority,0.3,keep_without_layer2_action,reference_high_support_not_auto_accept,1.0,reference_high_support_not_auto_accept,1.0,,,,,,,missing,0,0,,0,0
A__NCT02566928_inc__item1_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02566928_inc__item1_C1,NCT02566928,NCT02566928_inc__item1,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:keep_without_layer2_action,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,entity_not_grounded_in_evidence_or_item;hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;no_bert_anchor;operator_value_not_structurally_supported;range_with_both_bounds_missing,review_priority,0.25,keep_without_layer2_action,reference_high_support_not_auto_accept,1.0,reference_high_support_not_auto_accept,1.0,,,,,,,missing,0,0,,0,0
A__NCT02668016_inc__item5_C5__A_main_llm_rescue__conservative_structural_recovery,A,NCT02668016_inc__item5_C5,NCT02668016,NCT02668016_inc__item5,C5,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:computability_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,list_operator_without_list_value,,entity_not_grounded_in_evidence_or_item;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;no_bert_anchor;operator_value_not_structurally_supported,review_priority,0.25,computability_review,reference_high_support_not_auto_accept,0.9,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
A__NCT02780427_inc__item1_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02780427_inc__item1_C1,NCT02780427,NCT02780427_inc__item1,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:llm_verifier,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;no_bert_anchor;operator_value_not_structurally_supported;range_with_both_bounds_missing,review_priority,0.3,llm_verifier,reference_review_priority,0.35,reference_high_support_not_auto_accept,1.0,,,,,,,missing,0,0,,0,0
A__NCT02780427_inc__item1_C2__A_main_llm_rescue__conservative_structural_recovery,A,NCT02780427_inc__item1_C2,NCT02780427,NCT02780427_inc__item1,C2,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:keep_without_layer2_action,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,range_with_both_bounds_missing,,hard_structural:range_with_both_bounds_missing;layer1_policy_mandatory_rescue_or_review;no_bert_anchor;operator_value_not_structurally_supported;range_with_both_bounds_missing,review_priority,0.3,keep_without_layer2_action,reference_high_support_not_auto_accept,1.0,reference_high_support_not_auto_accept,1.0,,,,,,,missing,0,0,,0,0
A__NCT02874092_exc__item1_C1__A_main_llm_rescue__conservative_structural_recovery,A,NCT02874092_exc__item1_C1,NCT02874092,NCT02874092_exc__item1,C1,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,duplicate_identical_leaf;list_operator_without_list_value,,duplicate_identical_leaf;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;operator_value_not_structurally_supported,review_priority,0.3,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
A__NCT02874092_exc__item1_C2__A_main_llm_rescue__conservative_structural_recovery,A,NCT02874092_exc__item1_C2,NCT02874092,NCT02874092_exc__item1,C2,A_main_llm_rescue,10,recover_structural_information_or_abstain,conservative_structural_recovery,1,1,0,0,0,1,0,0,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,"Branch A is not repaired by a new LLM call. Use the corresponding Branch B leaf as the semantic substitute only because Branch B passed local usability checks. If the Branch B leaf is also routed to Branch B De Jure rescue, 06F2 should use the final best validated Branch B leaf.",Branch A has a conservative structural issue. This is actionable because the missing value/list/range may be recoverable from the source text.,,A,P1_run_now_conservative_structural_recovery,conservative_structural_recovery_before_downgrade,duplicate_identical_leaf;list_operator_without_list_value,,duplicate_identical_leaf;hard_structural:list_operator_without_list_value;layer1_policy_mandatory_rescue_or_review;list_operator_without_list_value;operator_value_not_structurally_supported,review_priority,0.3,optional_llm_verifier_or_review,reference_intermediate_support,0.8,reference_intermediate_support,0.6,,,,,,,missing,0,0,,0,0
