review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,n_clauses,logic_chain,manual_logic_label,manual_logic_issue_type,manual_logic_notes,,,,,,,
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",5,"C1: progression on prior therapy with a hormonal agent if estrogen receptor positive OR C2: progression on prior therapy with a hormonal agent if progesterone receptor positive OR C3: progression on prior therapy with trastuzumab if HER2-neu positive AND C4: if patient has progressed through hormone therapy only, must have received one chemotherapy regimen OR C5: if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen",partial,wrong_connector,"C4 and C5 should be AND with preceding clause, not OR within themselves? Actually logic chain shows C4 OR C5 after C1/C2/C3 with AND? Need review: The item has two parts: first part (progression on prior therapy if receptor positive) OR (progression on trastuzumab if HER2 positive) AND second part (if progressed through hormone only OR trastuzumab only then must have chemo). The logic chain shows C1 OR C2 OR C3 AND (C4 OR C5). That is correct semantically but the AND between C3 and C4 is missing? Actually current: C1 OR C2 OR C3 AND C4 OR C5 (without parentheses) is ambiguous. Should be (C1 OR C2 OR C3) AND (C4 OR C5). The given logic chain likely interpreted as C1 OR C2 OR (C3 AND C4) OR C5 � that changes meaning. So label partial, wrong_connector.",,,,,,,
I00014,NCT00319748,NCT00319748_inc,NCT00319748_inc__item14,14,inclusion,simple,Measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST),1,C1: measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST),correct,,,,,,,,,
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",5,C1: primary tumor must have been diagnosed histologically as epithelial ovarian cancer OR C2: primary tumor must have been diagnosed histologically as fallopian tube cancer OR C3: primary tumor must have been diagnosed histologically as primary peritoneal cancer AND NOT(C4: primary tumor is borderline epithelial carcinoma) AND NOT(C5: primary tumor is low malignant potential epithelial carcinoma),correct,,,,,,,,,
I00016,NCT00319748,NCT00319748_inc,NCT00319748_inc__item16,16,inclusion,quantifier,Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens.,4,[AT_LEAST 2] C1: subjects must have failed at least two previous chemotherapy regimens AND C2: paclitaxel must have been a component of one or both regimens AND C3: cisplatin must have been a component of one or both regimens OR C4: carboplatin must have been a component of one or both regimens,partial,wrong_connector,C3 OR C4 should be within parentheses: C2 AND (C3 OR C4). Current shows C2 AND C3 OR C4 which is ambiguous and could be interpreted as (C2 AND C3) OR C4 � wrong.,,,,,,,
I00017,NCT00319748,NCT00319748_inc,NCT00319748_inc__item17,17,inclusion,simple,Measurable metastatic disease,1,C1: measurable metastatic disease,correct,,,,,,,,,
I00018,NCT00319748,NCT00319748_inc,NCT00319748_inc__item18,18,inclusion,non_computable,Histologically proven recurrent or persistent endometrial cancer that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens,5,C1: histologically proven recurrent endometrial cancer OR C2: histologically proven persistent endometrial cancer AND C3: endometrial cancer is not amenable to curative treatment with surgery AND C4: endometrial cancer is not amenable to curative treatment with radiation therapy AND C5: has failed 2 previous treatment regimens,partial,wrong_connector,"C1 OR C2 should be grouped, then AND with C3 AND C4 AND C5. Current shows C1 OR C2 AND C3 AND C4 AND C5 � missing parentheses. Should be (C1 OR C2) AND C3 AND C4 AND C5.",,,,,,,
I00019,NCT00319748,NCT00319748_inc,NCT00319748_inc__item19,19,inclusion,simple,Measurable metastatic disease,1,C1: measurable metastatic disease,correct,,,,,,,,,
I00020,NCT00319748,NCT00319748_inc,NCT00319748_inc__item20,20,inclusion,non_computable,"Histologically proven recurrent or persistent squamous cell carcinoma, adenosquamous carcinoma, or adenocarcinoma of the cervix that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens.",9,C1: histologically proven recurrent squamous cell carcinoma of the cervix OR C2: histologically proven persistent squamous cell carcinoma of the cervix OR C3: histologically proven recurrent adenosquamous carcinoma of the cervix OR C4: histologically proven persistent adenosquamous carcinoma of the cervix OR C5: histologically proven recurrent adenocarcinoma of the cervix OR C6: histologically proven persistent adenocarcinoma of the cervix AND C7: disease is not amenable to curative treatment with surgery AND C8: disease is not amenable to curative treatment with radiation therapy AND C9: has failed 2 previous treatment regimens,partial,wrong_connector,"Same issue: C1 OR C2 OR C3 OR C4 OR C5 OR C6 should be grouped, then AND with C7 AND C8 AND C9. Current concatenation without parentheses is ambiguous and likely incorrectly parsed.",,,,,,,
I00021,NCT00319748,NCT00319748_exc,NCT00319748_exc__item1,1,exclusion,simple,Had/have the following prior/concurrent therapy:,1,C1: had/have the following prior/concurrent therapy,partial,bad_evidence_scope,"Clause 'had/have the following prior/concurrent therapy' is a heading, not a meaningful rule � evidence scope too broad",,,,,,,
I00022,NCT00319748,NCT00319748_exc,NCT00319748_exc__item2,2,exclusion,temporal,Systemic corticosteroids (oral or injectable) within 7 days of first dose of 852A (topical or inhaled steroids are allowed),2,C1: systemic corticosteroids (oral) within 7 days of first dose of 852A OR C2: systemic corticosteroids (injectable) within 7 days of first dose of 852A,correct,,,,,,,,,
I00023,NCT00319748,NCT00319748_exc,NCT00319748_exc__item3,3,exclusion,temporal,Investigational drugs/agents within 14 days of first dose of 852A,1,C1: investigational drugs/agents within 14 days of first dose of 852A,correct,,,,,,,,,
I00024,NCT00319748,NCT00319748_exc,NCT00319748_exc__item4,4,exclusion,temporal,"Immunosuppressive therapy, including cytotoxic agents within 14 days of first dose of 852A (nitrosoureas within 30 days of first dose)",3,C1: immunosuppressive therapy OR C2: cytotoxic agents within 14 days of first dose of 852A OR C3: nitrosoureas within 30 days of first dose,correct,,,,,,,,,
I00025,NCT00319748,NCT00319748_exc,NCT00319748_exc__item5,5,exclusion,exception,Drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions,1,C1: drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions,partial,bad_evidence_scope,Complex exception 'unless best available drug...' not split into separate clause; loses conditional logic,,,,,,,
I00026,NCT00319748,NCT00319748_exc,NCT00319748_exc__item6,6,exclusion,temporal,Radiotherapy within 3 weeks of the first dose of 852A,1,C1: radiotherapy within 3 weeks of the first dose of 852A,correct,,,,,,,,,
I00027,NCT00319748,NCT00319748_exc,NCT00319748_exc__item7,7,exclusion,temporal,Hematopoietic cell transplantation within 4 weeks of first dose of 852A,1,C1: hematopoietic cell transplantation within 4 weeks of first dose of 852A,correct,,,,,,,,,
I00028,NCT00319748,NCT00319748_exc,NCT00319748_exc__item8,8,exclusion,temporal,Evidence of active infection within 3 days of first dose of 852A,1,C1: evidence of active infection within 3 days of first dose of 852A,correct,,,,,,,,,
I00029,NCT00319748,NCT00319748_exc,NCT00319748_exc__item9,9,exclusion,multi_clause,Active fungal infection or pulmonary infiltrates (prior treated disease stable for 2 weeks is allowable),2,C1: active fungal infection OR C2: pulmonary infiltrates,correct,,,,,,,,,
I00030,NCT00319748,NCT00319748_exc,NCT00319748_exc__item10,10,exclusion,multi_clause,"Cardiac ischemia, cardiac arrhythmias or congestive heart failure uncontrolled by medication",3,C1: cardiac ischemia OR C2: cardiac arrhythmias OR C3: congestive heart failure uncontrolled by medication,correct,,,,,,,,,
I00031,NCT00319748,NCT00319748_exc,NCT00319748_exc__item11,11,exclusion,multi_clause,"History of, or clinical evidence of, a condition which, in the opinion of the investigator, could confound the results of the study or put the subject at undue risk",4,"C1: history of a condition which, in the opinion of the investigator, could confound the results of the study OR C2: clinical evidence of a condition which, in the opinion of the investigator, could confound the results of the study OR C3: history of a condition which, in the opinion of the investigator, could put the subject at undue risk OR C4: clinical evidence of a condition which, in the opinion of the investigator, could put the subject at undue risk",correct,,,,,,,,,
I00032,NCT00319748,NCT00319748_exc,NCT00319748_exc__item12,12,exclusion,multi_clause,Uncontrolled intercurrent or chronic illness,2,C1: uncontrolled intercurrent illness OR C2: uncontrolled chronic illness,correct,,,,,,,,,
I00033,NCT00319748,NCT00319748_exc,NCT00319748_exc__item13,13,exclusion,temporal,Active autoimmune disease requiring immunosuppressive therapy within 30 days,2,C1: active autoimmune disease AND C2: requiring immunosuppressive therapy within 30 days,correct,,,,,,,,,
I00034,NCT00319748,NCT00319748_exc,NCT00319748_exc__item14,14,exclusion,multi_clause,Active coagulation disorder not controlled with medication,2,C1: active coagulation disorder AND C2: coagulation disorder not controlled with medication,incorrect,wrong_connector,C1 and C2 are redundant � both capture 'active coagulation disorder' and 'not controlled'. Should be one clause with modifier. Splitting creates double-counting.,,,,,,,
I00035,NCT00319748,NCT00319748_exc,NCT00319748_exc__item15,15,exclusion,multi_clause,Pregnant or lactating,2,C1: pregnant OR C2: lactating,correct,,,,,,,,,
I00036,NCT00319748,NCT00319748_exc,NCT00319748_exc__item16,16,exclusion,exception,"Concurrent malignancy (if in remission, at least 5 years disease free) except for localized (in-situ) disease, basal carcinomas and cutaneous squamous cell carcinomas that have been adequately treated",2,C1: concurrent malignancy OR C2: malignancy in remission with less than 5 years disease free,incorrect,missing_clause,"The exception 'except for localized disease, basal carcinomas, squamous cell carcinomas' is completely lost. Only the positive condition is captured.",,,,,,,
I00037,NCT00319748,NCT00319748_exc,NCT00319748_exc__item17,17,exclusion,multi_clause,Any history of brain metastases or any other active central nervous system (CNS) disease,2,C1: any history of brain metastases OR C2: any other active central nervous system (CNS) disease,correct,,,,,,,,,
I00038,NCT00401245,NCT00401245_inc,NCT00401245_inc__item1,1,inclusion,multi_clause,"Generally healthy, postmenopausal woman who seeks treatment for hot flushes.",3,C1: generally healthy AND C2: postmenopausal woman AND C3: seeks treatment for hot flushes,correct,,,,,,,,,
I00039,NCT00401245,NCT00401245_inc,NCT00401245_inc__item2,2,inclusion,negation,Meets 1 of the following: At least 12 months of spontaneous amenorrhea; At least 6 months of spontaneous amenorrhea with serum follicle-stimulating hormone (FSH) levels > 40 mIU/mL; At least 6 weeks postsurgical bilateral oophorectomy (with or without hysterectomy). Hysterectomized without bilateral oophorectomy and with serum FSH levels >40 mIU/mL.,9,[EXACTLY 1] C1: at least 12 months of spontaneous amenorrhea OR C2: at least 6 months of spontaneous amenorrhea AND C3: serum follicle-stimulating hormone (FSH) levels > 40 mIU/mL OR C4: at least 6 weeks postsurgical bilateral oophorectomy OR C5: hysterectomy OR NOT(C6: no hysterectomy) OR C7: hysterectomized AND NOT(C8: bilateral oophorectomy) AND C9: serum FSH levels >40 mIU/mL,partial,wrong_connector; wrong_negation_scope,"Logic chain for C5, C6, C7, C8, C9 is messy. 'Hysterectomized without bilateral oophorectomy and with serum FSH >40' is a single composite clause, not separate AND/OR with negations. Also NOT(C6: no hysterectomy) is double negative. Needs restructuring.",,,,,,,
I00040,NCT00401245,NCT00401245_exc,NCT00401245_exc__item1,1,exclusion,multi_clause,History of a seizure disorder other than a single childhood febrile seizure.,2,C1: history of a seizure disorder AND C2: the seizure disorder is other than a single childhood febrile seizure,correct,,,,,,,,,
I00041,NCT00401245,NCT00401245_exc,NCT00401245_exc__item2,2,exclusion,multi_clause,History or presence of clinically important hepatic or renal disease or other medical disease.,6,C1: history of clinically important hepatic disease OR C2: presence of clinically important hepatic disease OR C3: history of clinically important renal disease OR C4: presence of clinically important renal disease OR C5: history of other medical disease OR C6: presence of other medical disease,correct,,,,,,,,,
I00042,NCT00401245,NCT00401245_exc,NCT00401245_exc__item3,3,exclusion,temporal,"Presence or recent history of major depressive disorder, bipolar disorder, psychotic disorder, or generalized anxiety disorder requiring therapy.",8,C1: presence of major depressive disorder requiring therapy OR C2: recent history of major depressive disorder requiring therapy OR C3: presence of bipolar disorder requiring therapy OR C4: recent history of bipolar disorder requiring therapy OR C5: presence of psychotic disorder requiring therapy OR C6: recent history of psychotic disorder requiring therapy OR C7: presence of generalized anxiety disorder requiring therapy OR C8: recent history of generalized anxiety disorder requiring therapy,correct,,,,,,,,,
I00043,NCT00445029,NCT00445029_inc,NCT00445029_inc__item1,1,inclusion,non_computable,For both groups:,1,C1: For both groups,partial,bad_evidence_scope,"Administrative heading, not a patient eligibility criterion",,,,,,,
I00044,NCT00445029,NCT00445029_inc,NCT00445029_inc__item2,2,inclusion,simple,Patients aged from 18 to 65 years old.,1,C1: aged from 18 to 65 years old,correct,,,,,,,,,
I00045,NCT00445029,NCT00445029_inc,NCT00445029_inc__item3,3,inclusion,simple,Both genders eligible for study.,1,C1: both genders are eligible for study,correct,,,,,,,,,
I00046,NCT00445029,NCT00445029_inc,NCT00445029_inc__item4,4,inclusion,simple,Female participants must use a contraceptive method.,1,C1: female participants must use a contraceptive method,correct,,,,,,,,,
I00047,NCT00445029,NCT00445029_inc,NCT00445029_inc__item5,5,inclusion,non_computable,Feasibility of patch testing.,1,C1: feasibility of patch testing,correct,,,,,,,,,
I00048,NCT00445029,NCT00445029_inc,NCT00445029_inc__item6,6,inclusion,non_computable,"Participants must be able to understand and sign the Informed Consent, and comply with all aspects of the protocol.",3,C1: participants must be able to understand the Informed Consent AND C2: participants must be able to sign the Informed Consent AND C3: participants must be able to comply with all aspects of the protocol,correct,,,,,,,,,
I00049,NCT00445029,NCT00445029_inc,NCT00445029_inc__item7,7,inclusion,non_computable,Patients must be registered in a social security system or with a health insurance coverage,2,C1: patients must be registered in a social security system OR C2: patients must have a health insurance coverage,correct,,,,,,,,,
I00050,NCT00445029,NCT00445029_inc,NCT00445029_inc__item8,8,inclusion,simple, First group: allergic patients,1,C1: First group: allergic patients,correct,,,,,,,,,
I00051,NCT00445029,NCT00445029_inc,NCT00445029_inc__item9,9,inclusion,multi_clause,Patients with allergic contact dermatitis to para-phenylenediamine (PPD) based on a history of PPD contact dermatitis and positive PPD patch tests.,3,C1: allergic contact dermatitis to para-phenylenediamine (PPD) AND C2: history of PPD contact dermatitis AND C3: positive PPD patch tests,correct,,,,,,,,,
I00052,NCT00445029,NCT00445029_inc,NCT00445029_inc__item10,10,inclusion,simple, Second group : healthy volunteers,1,C1: Second group: healthy volunteers,correct,,,,,,,,,
I00053,NCT00445029,NCT00445029_inc,NCT00445029_inc__item11,11,inclusion,negation,"No history of PPD allergic contact dermatitis, with a negative PPD patch test.",2,NOT(C1: history of PPD allergic contact dermatitis) AND C2: negative PPD patch test,correct,,,,,,,,,
I00054,NCT00445029,NCT00445029_exc,NCT00445029_exc__item1,1,exclusion,multi_clause,Pregnant or lactating women.,2,C1: pregnant OR C2: lactating,correct,,,,,,,,,
I00055,NCT00445029,NCT00445029_exc,NCT00445029_exc__item2,2,exclusion,simple,Evolutive skin disease on the testing zone (lower back).,1,C1: evolutive skin disease on the testing zone (lower back),correct,,,,,,,,,
I00056,NCT00445029,NCT00445029_exc,NCT00445029_exc__item3,3,exclusion,multi_clause,"Patients with a clinically significant disease (chronic, recurrent or active).",4,C1: clinically significant disease OR C2: clinically significant disease that is chronic OR C3: clinically significant disease that is recurrent OR C4: clinically significant disease that is active,partial,oversplit,"Splits 'chronic, recurrent or active' into separate OR clauses, losing that they modify the same disease",,,,,,,
I00057,NCT00445029,NCT00445029_exc,NCT00445029_exc__item4,4,exclusion,temporal,"Systemic corticotherapy or immunosuppressive treatment during the previous month, or local corticoid treatment the week before the patch testing.",3,C1: systemic corticotherapy during the previous month OR C2: immunosuppressive treatment during the previous month OR C3: local corticoid treatment the week before the patch testing,correct,,,,,,,,,
I00058,NCT00445029,NCT00445029_exc,NCT00445029_exc__item5,5,exclusion,multi_clause,Local or systemic drug use which interacts with the outcome measures.,2,C1: local drug use which interacts with the outcome measures OR C2: systemic drug use which interacts with the outcome measures,correct,,,,,,,,,
I00059,NCT00445029,NCT00445029_exc,NCT00445029_exc__item6,6,exclusion,temporal,"Exposure to sun or UV radiations, 15 days before the patch testing.",2,"C1: exposure to sun OR C2: exposure to UV radiations, 15 days before the patch testing",correct,,,,,,,,,
I00060,NCT00445029,NCT00445029_exc,NCT00445029_exc__item7,7,exclusion,non_computable,"Patients deprived of their civic rights, in custody, or subject to a tutorial, judiciary or administrative decision.",5,C1: patients deprived of their civic rights OR C2: patients in custody OR C3: patients subject to a tutorial decision OR C4: patients subject to a judiciary decision OR C5: patients subject to an administrative decision,correct,,,,,,,,,
I00061,NCT00445029,NCT00445029_exc,NCT00445029_exc__item8,8,exclusion,simple,Patients subject to a protection measure.,1,C1: patients subject to a protection measure,correct,,,,,,,,,
I00062,NCT00445029,NCT00445029_exc,NCT00445029_exc__item9,9,exclusion,simple,Patients in a critical medical situation.,1,C1: patients in a critical medical situation,correct,,,,,,,,,
I00063,NCT00445029,NCT00445029_exc,NCT00445029_exc__item10,10,exclusion,non_computable,"Patients with a personal situation judged by the investigator as unlikely to be compatible with optimal participation in the study, or which could constitute a risk for the patient.",2,C1: personal situation judged by the investigator as unlikely to be compatible with optimal participation in the study OR C2: personal situation judged by the investigator as could constitute a risk for the patient,correct,,,,,,,,,
I00064,NCT00445029,NCT00445029_exc,NCT00445029_exc__item11,11,exclusion,non_computable,Linguistic barrier or psychological profile preventing the patient from signing the consent form.,2,C1: linguistic barrier preventing the patient from signing the consent form OR C2: psychological profile preventing the patient from signing the consent form,correct,,,,,,,,,
I00065,NCT00445029,NCT00445029_exc,NCT00445029_exc__item12,12,exclusion,simple,Patient still in an exclusion period following the participation in another clinical trial.,1,C1: patient still in an exclusion period following participation in another clinical trial,correct,,,,,,,,,
I00066,NCT00445029,NCT00445029_exc,NCT00445029_exc__item13,13,exclusion,temporal,"Patients having earned more than 4500€ in indemnities for participation in clinical trials during the previous 12 months, including this study.",1,"C1: having earned more than 4500€ in indemnities for participation in clinical trials during the previous 12 months, including this study",correct,,,,,,,,,
I00067,NCT00461136,NCT00461136_inc,NCT00461136_inc__item1,1,inclusion,multi_clause,Male and/or female patients from 30-80 years of age with a diagnosis of Type 2 diabetes (WHO criteria).,4,C1: male patients OR C2: female patients AND C3: 30-80 years of age AND C4: diagnosis of Type 2 diabetes (WHO criteria),partial,wrong_connector,Missing parentheses: should be (C1 OR C2) AND C3 AND C4,,,,,,,
I00068,NCT00461136,NCT00461136_inc,NCT00461136_inc__item2,2,inclusion,multi_clause,Incipient and established diabetic nephropathy (urinary albumin excretion ≥ 100 mg/day but ≤ 2000 mg/day).,4,C1: incipient diabetic nephropathy OR C2: established diabetic nephropathy AND C3: urinary albumin excretion ≥ 100 mg/day AND C4: urinary albumin excretion ≤ 2000 mg/day,partial,wrong_connector,Missing parentheses: should be (C1 OR C2) AND C3 AND C4,,,,,,,
I00069,NCT00461136,NCT00461136_inc,NCT00461136_inc__item3,3,inclusion,temporal,Glomerular filtration rate (GFR) ≥ 40 ml/min (estimated using Modification of Diet in Renal Disease (MDRD) formula) in the last 4 months.,3,C1: Glomerular filtration rate (GFR) ≥ 40 ml/min AND C2: GFR estimated using Modification of Diet in Renal Disease (MDRD) formula AND C3: GFR measurement in the last 4 months,correct,,,,,,,,,
I00070,NCT00461136,NCT00461136_inc,NCT00461136_inc__item4,4,inclusion,temporal,Female patients must be postmenopausal or must have had a bilateral oophorectomy or must have been surgically sterilized or hysterectomized at least 6 months prior to screening.,4,C1: female patients must be postmenopausal OR C2: female patients must have had a bilateral oophorectomy OR C3: female patients must have been surgically sterilized OR C4: female patients must have been hysterectomized at least 6 months prior to screening,correct,,,,,,,,,
I00071,NCT00461136,NCT00461136_inc,NCT00461136_inc__item5,5,inclusion,temporal,To be eligible patients must fulfill the following criteria: Patients on ongoing hypertensive therapy must have a blood pressure ≥ 135/85 mm Hg but lower than 170/105 mm Hg at baseline (Day -1) AND patients must be on stable antihypertensive medications for at least 8 weeks prior to baseline (Day -1).; Newly diagnosed hypertensive patients must have a blood pressure ≥ 135/85 mm Hg but lower than 170/105 mm Hg at baseline (Day -1).,5,C1: patients on ongoing hypertensive therapy must have a blood pressure ≥ 135/85 mm Hg at baseline (Day -1) AND C2: patients on ongoing hypertensive therapy must have a blood pressure lower than 170/105 mm Hg at baseline (Day -1) AND C3: patients must be on stable antihypertensive medications for at least 8 weeks prior to baseline (Day -1) OR C4: newly diagnosed hypertensive patients must have a blood pressure ≥ 135/85 mm Hg at baseline (Day -1) AND C5: newly diagnosed hypertensive patients must have a blood pressure lower than 170/105 mm Hg at baseline (Day -1),partial,wrong_connector,Missing parentheses: should be (C1 AND C2 AND C3) OR (C4 AND C5),,,,,,,
I00072,NCT00461136,NCT00461136_inc,NCT00461136_inc__item6,6,inclusion,temporal,Patients must be on stable hypoglycemic medications for at least 8 weeks prior to Visit 2 ( Day -1).,2,C1: patients must be on stable hypoglycemic medications AND C2: patients must be on stable hypoglycemic medications for at least 8 weeks prior to Visit 2 ( Day -1),partial,oversplit,C1 and C2 redundant; timing should be part of same clause,,,,,,,
I00073,NCT00461136,NCT00461136_inc,NCT00461136_inc__item7,7,inclusion,temporal,"Patients must be willing and medically able to discontinue all Angiotensin-converting enzyme inhibitor (ACEI), Angiotensin receptor blocker (ARB), aldosterone receptor antagonist and potassium sparing diuretic medications for the duration of the study.",8,C1: patients must be willing to discontinue all Angiotensin-converting enzyme inhibitor (ACEI) medications for the duration of the study AND C2: patients must be medically able to discontinue all Angiotensin-converting enzyme inhibitor (ACEI) medications for the duration of the study AND C3: patients must be willing to discontinue all Angiotensin receptor blocker (ARB) medications for the duration of the study AND C4: patients must be medically able to discontinue all Angiotensin receptor blocker (ARB) medications for the duration of the study AND C5: patients must be willing to discontinue all aldosterone receptor antagonist medications for the duration of the study AND C6: patients must be medically able to discontinue all aldosterone receptor antagonist medications for the duration of the study AND C7: patients must be willing to discontinue all potassium sparing diuretic medications for the duration of the study AND C8: patients must be medically able to discontinue all potassium sparing diuretic medications for the duration of the study,correct,,,,,,,,,
I00074,NCT00461136,NCT00461136_inc,NCT00461136_inc__item8,8,inclusion,temporal,Oral body temperature within the range 35.0-37.5 °C,1,C1: oral body temperature within the range 35.0-37.5 °C,correct,,,,,,,,,
I00075,NCT00461136,NCT00461136_inc,NCT00461136_inc__item9,9,inclusion,temporal,Able to provide written informed consent prior to study participation. .,1,C1: able to provide written informed consent prior to study participation,correct,,,,,,,,,
I00076,NCT00461136,NCT00461136_inc,NCT00461136_inc__item10,10,inclusion,non_computable,Able to communicate well with the investigator and comply with the requirements of the study.,2,C1: able to communicate well with the investigator AND C2: able to comply with the requirements of the study,correct,,,,,,,,,
I00077,NCT00461136,NCT00461136_exc,NCT00461136_exc__item1,1,exclusion,multi_clause,Severe Hypertension Grade 3 WHO classification (Mean Sitting Diastolic Blood Pressure (MSDBP) 110 mmHg and/or Mean Sitting Systolic Blood Pressure MSSBP 180 mmHg),3,C1: Severe Hypertension Grade 3 WHO classification AND C2: Mean Sitting Diastolic Blood Pressure (MSDBP) 110 mmHg OR C3: Mean Sitting Systolic Blood Pressure MSSBP 180 mmHg,incorrect,wrong_connector,Should be C1 AND (C2 OR C3); current grouping changes meaning,,,,,,,
I00078,NCT00461136,NCT00461136_exc,NCT00461136_exc__item2,2,exclusion,multi_clause,Acetylsalicyclic acid (ASA) treatment >1g/day or regular use of Non steroidal anti-inflammatory drug (NSAIDs),2,C1: Acetylsalicyclic acid (ASA) treatment >1g/day OR C2: regular use of Non steroidal anti-inflammatory drug (NSAIDs),correct,,,,,,,,,
I00079,NCT00461136,NCT00461136_exc,NCT00461136_exc__item3,3,exclusion,negation,Kidney disease not caused by diabetes or hypertension,3,C1: kidney disease AND NOT(C2: kidney disease caused by diabetes) AND NOT(C3: kidney disease caused by hypertension),correct,,,,,,,,,
I00080,NCT00461136,NCT00461136_exc,NCT00461136_exc__item4,4,exclusion,multi_clause,Serum potassium < 3.5 or > 5.1 mEq/L,2,C1: serum potassium < 3.5 mEq/L OR C2: serum potassium > 5.1 mEq/L,correct,,,,,,,,,
I00081,NCT00461136,NCT00461136_exc,NCT00461136_exc__item5,5,exclusion,simple,GFR < 40 ml/min/1.73m2 as measured by the MDRD formula,1,C1: GFR < 40 ml/min/1.73m2 as measured by the MDRD formula,correct,,,,,,,,,
I00082,NCT00461136,NCT00461136_exc,NCT00461136_exc__item6,6,exclusion,simple,Serum albumin < 2.0mg/dL,1,C1: Serum albumin < 2.0mg/dL,correct,,,,,,,,,
I00083,NCT00461136,NCT00461136_exc,NCT00461136_exc__item7,7,exclusion,temporal,History of hypertensive encephalopathy or cerebrovascular accident at any time prior to Visit1.,2,C1: history of hypertensive encephalopathy at any time prior to Visit1 OR C2: history of cerebrovascular accident at any time prior to Visit1,correct,,,,,,,,,
