review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,clause_id,clause_text,evidence_text,is_negated,connector_to_next,quantifier,A_leaf,B_leaf,manual_A_leaf_label,manual_B_leaf_label,manual_best_branch_A_B,manual_A_issue_type,manual_B_issue_type,manual_notes
I00001,NCT00319748,NCT00319748_inc,NCT00319748_inc__item1,1,inclusion,simple,Adequate performance status:,C1,adequate performance status,Adequate performance status:,FALSE,,,entity_type=lab | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Performance status scale and threshold for 'adequate' (e.g., ECOG/Karnofsky) not specified.",partial,partial,tie,missing_threshold; bad_entity_type,missing_threshold,"Both miss that 'adequate' requires a threshold (e.g., ECOG ?1); A mislabels as lab"
I00006,NCT00319748,NCT00319748_inc,NCT00319748_inc__item6,6,inclusion,simple,Diagnosis of one of the following malignancies:,C1,diagnosis of one of the following malignancies,Diagnosis of one of the following malignancies:,FALSE,,,entity_type=condition | entity=malignancies | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=one of the following malignancies | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Specific malignancy types are not listed in this clause; cannot determine which diagnoses qualify.,partial,partial,tie,too_broad_entity,too_broad_entity,Both fail to list specific malignancy types
I00007,NCT00319748,NCT00319748_inc,NCT00319748_inc__item7,7,inclusion,simple,Metastatic breast cancer (BR),C1,metastatic breast cancer,Metastatic breast cancer (BR),FALSE,,,entity_type=condition | entity=Metastatic breast cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic breast cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,correct,correct,tie,,,
I00008,NCT00319748,NCT00319748_inc,NCT00319748_inc__item8,8,inclusion,simple,Metastatic ovarian cancer (OV),C1,metastatic ovarian cancer,Metastatic ovarian cancer (OV),FALSE,,,entity_type=condition | entity=Metastatic ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,correct,correct,tie,,,
I00009,NCT00319748,NCT00319748_inc,NCT00319748_inc__item9,9,inclusion,simple,Metastatic endometrial cancer (EM),C1,metastatic endometrial cancer (EM),Metastatic endometrial cancer (EM),FALSE,,,entity_type=condition | entity=endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic endometrial cancer (EM) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,partial,correct,B,too_narrow_entity,,A loses 'metastatic'
I00010,NCT00319748,NCT00319748_inc,NCT00319748_inc__item10,10,inclusion,simple,Metastatic cervical cancer (CX),C1,metastatic cervical cancer (CX),Metastatic cervical cancer (CX),FALSE,,,entity_type=condition | entity=cervical cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic cervical cancer (CX) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,partial,correct,B,too_narrow_entity,,A loses 'metastatic'
I00011,NCT00319748,NCT00319748_inc,NCT00319748_inc__item11,11,inclusion,quantifier,Measurable metastatic disease (>1cm) in at least one site other than bone-only,C1,measurable metastatic disease (>1cm),Measurable metastatic disease (>1cm),FALSE,AND,,entity_type=condition | entity=metastatic disease | operator=> | value_type=scalar | value=1 | unit=cm | temporal= | history=None | computability=computable | reason=,"entity_type=condition | entity=measurable metastatic disease | operator=exists | value_type=scalar | value="">1 cm"" | unit=None | temporal= | history=current | computability=partial | reason=Measurability threshold is stated but the specific measurement modality/standard (e.g., RECIST target lesion longest diameter) is not specified.",partial,partial,B,wrong_entity,missing_threshold,"A wrong entity (metastatic disease without measurable), B loses numeric threshold"
I00011,NCT00319748,NCT00319748_inc,NCT00319748_inc__item11,11,inclusion,quantifier,Measurable metastatic disease (>1cm) in at least one site other than bone-only,C2,in at least one site other than bone-only,in at least one site other than bone-only,FALSE,,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=other | entity=in at least one site other than bone-only | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=metastatic disease present in at least one site other than bone-only | operator=exists | value_type=scalar | value="">=1 non-bone site (not bone-only)"" | unit=None | temporal= | history=current | computability=partial | reason=Requires determining metastatic sites and excluding bone-only disease; specific site documentation and definition of bone-only status may vary.",correct,correct,tie,,Both capture the site requirement,
I00012,NCT00319748,NCT00319748_inc,NCT00319748_inc__item12,12,inclusion,quantifier,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,C1,progression on at least one previous chemotherapy regimen for metastatic disease,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,FALSE,OR,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=condition | entity=metastatic disease | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=therapy | entity=progression on at least one previous chemotherapy regimen for metastatic disease | operator=exists | value_type=scalar | value="">=1 prior chemotherapy regimen for metastatic disease with progression"" | unit=None | temporal= | history=prior | computability=partial | reason=Requires linking metastatic disease setting with prior chemotherapy regimen count and documented progression; may not be consistently structured across records.",incorrect,correct,B,wrong_entity,,A extracts metastatic disease instead of progression on chemo
I00012,NCT00319748,NCT00319748_inc,NCT00319748_inc__item12,12,inclusion,quantifier,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,C2,failure to respond to at least one previous chemotherapy regimen for metastatic disease,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,FALSE,,"{""quantifier_type"": ""AT_LEAST"", ""value"": 1}",entity_type=condition | entity=metastatic disease | operator=>= | value_type=scalar | value=1 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=therapy | entity=failure to respond to at least one previous chemotherapy regimen for metastatic disease | operator=exists | value_type=scalar | value="">=1 prior chemotherapy regimen for metastatic disease with failure to respond"" | unit=None | temporal= | history=prior | computability=partial | reason=Response assessment and 'failure to respond' may be variably defined/documented and not consistently structured; also requires linking to metastatic disease setting and regimen count.",incorrect,correct,B,wrong_entity,,Same
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",C1,progression on prior therapy with a hormonal agent if estrogen receptor positive,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive.",FALSE,OR,,entity_type=lab | entity=estrogen receptor or progesterone receptor | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=therapy | entity=progression on prior therapy with a hormonal agent if estrogen receptor positive | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires conditional logic linking estrogen receptor positivity with progression on prior hormonal therapy; progression definition not specified.,incorrect,correct,B,wrong_entity,,A extracts lab instead of therapy progression
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",C2,progression on prior therapy with a hormonal agent if progesterone receptor positive,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive.",FALSE,OR,,entity_type=lab | entity=estrogen receptor or progesterone receptor | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=therapy | entity=progression on prior therapy with a hormonal agent if progesterone receptor positive | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires conditional logic linking progesterone receptor positivity with progression on prior hormonal therapy; progression definition not specified.,incorrect,correct,B,wrong_entity,,Same
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",C3,progression on prior therapy with trastuzumab if HER2-neu positive,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive.",FALSE,AND,,entity_type=lab | entity=HER2-neu | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=therapy | entity=progression on prior therapy with trastuzumab if HER2-neu positive | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires conditional logic linking HER2-neu positivity with progression on prior trastuzumab therapy; progression definition not specified.,incorrect,correct,B,wrong_entity,,A extracts HER2 lab instead of trastuzumab progression
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",C4,"if patient has progressed through hormone therapy only, must have received one chemotherapy regimen","If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",FALSE,OR,,entity_type=condition | entity=progressed | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=line_of_therapy | entity=if patient has progressed through hormone therapy only, must have received one chemotherapy regimen | operator=exists | value_type=scalar | value=1 | unit=regimen | temporal= | history=prior | computability=partial | reason=Depends on determining 'progressed through hormone therapy only' and counting chemotherapy regimens; 'only' condition and progression definition may not be directly computable from structured data.",incorrect,correct,B,missing_threshold,,A lacks count of regimens; B has count but partial
I00013,NCT00319748,NCT00319748_inc,NCT00319748_inc__item13,13,inclusion,exception,"Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",C5,"if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen","If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen.",FALSE,,,entity_type=condition | entity=progressed | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=line_of_therapy | entity=if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen | operator=exists | value_type=scalar | value=1 | unit=regimen | temporal= | history=prior | computability=partial | reason=Depends on determining 'progressed through trastuzumab therapy only' and counting chemotherapy regimens; 'only' condition and progression definition may not be directly computable from structured data.",incorrect,correct,B,missing_threshold,,Same
I00014,NCT00319748,NCT00319748_inc,NCT00319748_inc__item14,14,inclusion,simple,Measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST),C1,measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST),Measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST),FALSE,,,entity_type=condition | entity=metastatic disease | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=measurable metastatic disease (RECIST-defined) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=RECIST-defined measurable disease requires imaging-based target lesion measurements and RECIST assessment details not explicitly represented here.,partial,correct,B,missing_clause,,A loses RECIST definition; B includes it
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",C1,primary tumor must have been diagnosed histologically as epithelial ovarian cancer,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer",FALSE,OR,,entity_type=condition | entity=epithelial ovarian cancer | operator=in | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=epithelial ovarian cancer (histologically diagnosed primary tumor) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Histologic diagnosis requirement may not be consistently available as structured patient-level data.,correct,partial,A,,wrong_computability,A correct; B over-penalizes histology as partial
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",C2,primary tumor must have been diagnosed histologically as fallopian tube cancer,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer",FALSE,OR,,entity_type=condition | entity=fallopian tube cancer | operator=in | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=fallopian tube cancer (histologically diagnosed primary tumor) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Histologic diagnosis requirement may not be consistently available as structured patient-level data.,correct,partial,A,,wrong_computability,Same
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",C3,primary tumor must have been diagnosed histologically as primary peritoneal cancer,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer",FALSE,AND,,entity_type=condition | entity=primary peritoneal cancer | operator=in | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=primary peritoneal cancer (histologically diagnosed primary tumor) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Histologic diagnosis requirement may not be consistently available as structured patient-level data.,correct,partial,A,,wrong_computability,Same
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",C4,primary tumor is borderline epithelial carcinoma,(not borderline or low malignant potential epithelial carcinoma),TRUE,AND,,entity_type=condition | entity=or low malignant potential epithelial carcinoma | operator=not_exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=borderline epithelial carcinoma (primary tumor) | operator=not_exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Borderline histology classification may not be consistently available as structured patient-level data.,incorrect,correct,B,wrong_entity,,A entity garbled; B correct negation
I00015,NCT00319748,NCT00319748_inc,NCT00319748_inc__item15,15,inclusion,negation,"Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma).",C5,primary tumor is low malignant potential epithelial carcinoma,(not borderline or low malignant potential epithelial carcinoma),TRUE,,,entity_type=condition | entity=or low malignant potential epithelial carcinoma | operator=not_exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=low malignant potential epithelial carcinoma (primary tumor) | operator=not_exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Low malignant potential histology classification may not be consistently available as structured patient-level data.,incorrect,correct,B,wrong_entity,,Same
I00016,NCT00319748,NCT00319748_inc,NCT00319748_inc__item16,16,inclusion,quantifier,Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens.,C1,subjects must have failed at least two previous chemotherapy regimens,Subjects must have failed at least two previous chemotherapy regimens.,FALSE,AND,"{""quantifier_type"": ""AT_LEAST"", ""value"": 2}",entity_type=procedure | entity=chemotherapy regimens | operator=>= | value_type=scalar | value=2 | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=therapy | entity=failed previous chemotherapy regimens (count) | operator=>= | value_type=scalar | value=2 | unit=regimen | temporal= | history=prior | computability=partial | reason=Failure of chemotherapy regimens may require clinical interpretation (e.g., progression, intolerance) not consistently encoded as structured data.",incorrect,correct,B,wrong_operator,,A lacks 'failed' concept; B includes it
I00016,NCT00319748,NCT00319748_inc,NCT00319748_inc__item16,16,inclusion,quantifier,Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens.,C2,paclitaxel must have been a component of one or both regimens,Paclitaxel must have been a component of one or both regimens,FALSE,AND,,entity_type=drug | entity=Paclitaxel | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=drug | entity=paclitaxel as component of prior chemotherapy regimen(s) | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires linking paclitaxel exposure specifically to one or both of the failed regimens; regimen composition may not be fully structured.,correct,correct,tie,,,
I00016,NCT00319748,NCT00319748_inc,NCT00319748_inc__item16,16,inclusion,quantifier,Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens.,C3,cisplatin must have been a component of one or both regimens,cisplatin or carboplatin must have been a component of one or both regimens,FALSE,OR,,entity_type=drug | entity=cisplatin | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=drug | entity=cisplatin as component of prior chemotherapy regimen(s) | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires linking cisplatin exposure specifically to one or both of the failed regimens; regimen composition may not be fully structured.,correct,correct,tie,,,
I00016,NCT00319748,NCT00319748_inc,NCT00319748_inc__item16,16,inclusion,quantifier,Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens.,C4,carboplatin must have been a component of one or both regimens,cisplatin or carboplatin must have been a component of one or both regimens,FALSE,,,entity_type=drug | entity=carboplatin | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=drug | entity=carboplatin as component of prior chemotherapy regimen(s) | operator=exists | value_type=null | value= | unit=None | temporal= | history=prior | computability=partial | reason=Requires linking carboplatin exposure specifically to one or both of the failed regimens; regimen composition may not be fully structured.,correct,correct,tie,,,
I00017,NCT00319748,NCT00319748_inc,NCT00319748_inc__item17,17,inclusion,simple,Measurable metastatic disease,C1,measurable metastatic disease,Measurable metastatic disease,FALSE,,,entity_type=condition | entity=metastatic disease | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=condition | entity=metastatic disease (measurable) | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Measurability requires protocol-specific imaging/RECIST definition not provided.,partial,correct,B,too_broad_entity,,A loses 'measurable'
I00018,NCT00319748,NCT00319748_inc,NCT00319748_inc__item18,18,inclusion,non_computable,Histologically proven recurrent or persistent endometrial cancer that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens,C1,histologically proven recurrent endometrial cancer,Histologically proven recurrent or persistent endometrial cancer,FALSE,OR,,entity_type=condition | entity=endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,entity_type=condition | entity=histologically proven recurrent endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Histologic confirmation and recurrence status may not be consistently available as structured patient-level data.,partial,correct,B,too_narrow_entity,,A loses 'histologically proven recurrent'
