plan_id,branch_to_update,criterion_id,final_decision,selected_source,apply_status,apply_action,skip_reason,changed_fields,old_entity_text,new_entity_text,old_operator,new_operator,old_value_type,new_value_type,old_value,new_value,old_unit,new_unit,old_computability,new_computability,local_validation_status,local_validation_reasons,decision,old_negated,new_negated,selection_reason,confidence
B__NCT00319748_inc__item13_C4__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item13_C4,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],"if patient has progressed through hormone therapy only, must have received one chemotherapy regimen","if patient has progressed through hormone therapy only, must have received one chemotherapy regimen",exists,exists,scalar,scalar,1,1,regimen,regimen,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.12/5; B_current score 3.12/5.,low
B__NCT00319748_inc__item13_C5__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item13_C5,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],"if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen","if patient has progressed through trastuzumab therapy only, must have received one chemotherapy regimen",exists,exists,scalar,scalar,1,1,regimen,regimen,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.31/5; B_current score 3.31/5.,low
B__NCT00319748_inc__item4_C1__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00319748_inc__item4_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],female,female,=,=,scalar,scalar,female,female,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.88/5; B_current score 2.88/5.,low
B__NCT00319748_inc__item4_C2__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00319748_inc__item4_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],of childbearing potential,of childbearing potential,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.56/5; B_current score 3.56/5.,low
B__NCT00319748_inc__item4_C3__B_main_llm_rescue__temporal_context_recovery,B,NCT00319748_inc__item4_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],"willing to use adequate contraception (hormonal, barrier method, abstinence)","willing to use adequate contraception (hormonal, barrier method, abstinence)",exists,exists,null,null,,,,,non_computable,non_computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.90/5; B_current score 3.90/5.,low
B__NCT00319748_inc__item5_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00319748_inc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],normal organ function,normal organ function,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.75/5; B_current score 3.75/5.,low
B__NCT00401245_exc__item1_C1__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00401245_exc__item1_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""computability"", ""non_computable_reason""]",seizure disorder,History of a seizure disorder other than a single childhood febrile seizure,exists,exists,null,null,,,,,computable,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_1 with score 4.75/5, improving by at least 0.25.",high
B__NCT00401245_exc__item1_C2__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00401245_exc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],single childhood febrile seizure,single childhood febrile seizure,not_exists,not_exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.38/5; B_current score 2.38/5.,low
B__NCT00401245_exc__item3_C1__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],major depressive disorder requiring therapy,major depressive disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00401245_exc__item3_C2__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],major depressive disorder requiring therapy,major depressive disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT00401245_exc__item3_C3__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],bipolar disorder requiring therapy,bipolar disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT00401245_exc__item3_C4__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C4,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],bipolar disorder requiring therapy,bipolar disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.81/5; B_current score 3.81/5.,low
B__NCT00401245_exc__item3_C5__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C5,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],psychotic disorder requiring therapy,psychotic disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00401245_exc__item3_C6__B_main_llm_rescue__entity_regrounding,B,NCT00401245_exc__item3_C6,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],psychotic disorder requiring therapy,psychotic disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00401245_exc__item3_C7__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00401245_exc__item3_C7,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],generalized anxiety disorder requiring therapy,generalized anxiety disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00401245_exc__item3_C8__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00401245_exc__item3_C8,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],generalized anxiety disorder requiring therapy,generalized anxiety disorder requiring therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.25/5; B_current score 4.25/5.,low
B__NCT00401245_inc__item2_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00401245_inc__item2_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],spontaneous amenorrhea,spontaneous amenorrhea,exists,exists,range,range,"{""min"": 12, ""max"": null}","{""min"": 12, ""max"": null}",month,month,partial,partial,fail,"[""existence_operator_with_non_null_value_type""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00401245_inc__item2_C2__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00401245_inc__item2_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],spontaneous amenorrhea,spontaneous amenorrhea,exists,exists,range,range,"{""min"": 6, ""max"": null}","{""min"": 6, ""max"": null}",month,month,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.88/5; B_current score 3.88/5.,low
B__NCT00401245_inc__item2_C4__B_main_llm_rescue__value_or_operator_recovery,B,NCT00401245_inc__item2_C4,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],bilateral oophorectomy,bilateral oophorectomy,exists,exists,null,null,,,,,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.69/5 >= 4.50/5); kept unchanged.,medium
B__NCT00401245_inc__item2_C7__B_main_llm_rescue__entity_regrounding,B,NCT00401245_inc__item2_C7,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],hysterectomy,hysterectomy,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.12/5; B_current score 3.12/5.,low
B__NCT00445029_exc__item13_C1__B_main_llm_rescue__entity_regrounding,B,NCT00445029_exc__item13_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],earned indemnities for participation in clinical trials (including this study),earned indemnities for participation in clinical trials (including this study),>,>,scalar,scalar,4500,4500,EUR,EUR,partial,partial,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00445029_exc__item3_C1__B_main_llm_rescue__history_context_recovery,B,NCT00445029_exc__item3_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],clinically significant disease,clinically significant disease,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT00445029_exc__item6_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00445029_exc__item6_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],exposure to sun,exposure to sun,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.00/5; B_current score 3.00/5.,low
B__NCT00445029_inc__item3_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT00445029_inc__item3_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],gender,gender,in,in,list,list,"[""male"", ""female""]","[""male"", ""female""]",,,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged.,high
B__NCT00461136_exc__item16_C2__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00461136_exc__item16_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],longer if required by local regulation,longer if required by local regulation,exists,exists,null,null,,,,,non_computable,non_computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 1.90/5; B_current score 1.90/5.,low
B__NCT00461136_exc__item17_C1__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item17_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],blood donation (>=400 mL),blood donation (>=400 mL),exists,exists,scalar,scalar,400,400,mL,mL,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00461136_exc__item17_C2__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item17_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],blood loss (>=400 mL),blood loss (>=400 mL),exists,exists,scalar,scalar,400,400,mL,mL,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT00461136_exc__item1_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT00461136_exc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Severe Hypertension Grade 3 WHO classification,Severe Hypertension Grade 3 WHO classification,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.62/5; B_current score 3.62/5.,low
B__NCT00461136_exc__item22_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT00461136_exc__item22_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],pancreatic injury,pancreatic injury,exists,exists,null,null,,,,,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.75/5 >= 4.50/5); kept unchanged.,high
B__NCT00461136_exc__item22_C2__B_main_llm_rescue__value_or_operator_recovery,B,NCT00461136_exc__item22_C2,select_candidate,LLM_candidate_1,no_change,no_update,candidate_identical_to_target_leaf,[],pancreatitis,pancreatitis,exists,exists,null,null,,,,,computable,computable,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT00461136_exc__item25_C1__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item25_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Hepatitis B surface antigen (HBsAg) positive,Hepatitis B surface antigen (HBsAg) positive,exists,exists,scalar,scalar,positive,positive,,,computable,computable,fail,"[""existence_operator_with_non_null_value_type"", ""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.62/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00461136_exc__item25_C2__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item25_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Hepatitis C test positive,Hepatitis C test positive,exists,exists,scalar,scalar,positive,positive,,,computable,computable,fail,"[""existence_operator_with_non_null_value_type"", ""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00461136_exc__item2_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00461136_exc__item2_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],Acetylsalicyclic acid (ASA),Acetylsalicyclic acid (ASA),>,>,scalar,scalar,1,1,g/day,g/day,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.88/5 >= 4.50/5); kept unchanged.,high
B__NCT00461136_exc__item30_C1__B_main_llm_rescue__history_context_recovery,B,NCT00461136_exc__item30_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],contraindications to the study medications,contraindications to the study medications,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT00461136_exc__item30_C2__B_main_llm_rescue__history_context_recovery,B,NCT00461136_exc__item30_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],suspected contraindications to the study medications,suspected contraindications to the study medications,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.88/5; B_current score 3.88/5.,low
B__NCT00461136_exc__item32_C1__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item32_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""history_context""]",any prescription drug prohibited by the protocol,any prescription drug or over-the-counter (OTC) medication which is prohibited by the protocol,exists,exists,null,null,,,,,non_computable,non_computable,pass,[],select_candidate,,,"B_current failed or was weaker (4.00/5). The best generated candidate was LLM_candidate_1 with score 4.38/5, improving by at least 0.25.",high
B__NCT00461136_exc__item32_C2__B_main_llm_rescue__entity_regrounding,B,NCT00461136_exc__item32_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""history_context""]",any over-the-counter (OTC) medication prohibited by the protocol,any prescription drug or over-the-counter (OTC) medication which is prohibited by the protocol,exists,exists,null,null,,,,,non_computable,non_computable,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT00461136_exc__item9_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00461136_exc__item9_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],myocardial infarction,myocardial infarction,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=LLM_candidate_2 score 4.38/5; B_current score 4.25/5.,low
B__NCT00461136_exc__item9_C2__B_main_llm_rescue__temporal_context_recovery,B,NCT00461136_exc__item9_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""temporal_context""]",unstable angina pectoris,unstable angina pectoris,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.12/5). The best generated candidate was LLM_candidate_1 with score 4.38/5, improving by at least 0.25.",high
B__NCT00461136_exc__item9_C3__B_main_llm_rescue__temporal_context_recovery,B,NCT00461136_exc__item9_C3,select_candidate,LLM_candidate_2,applied,apply_selected_candidate_leaf,,"[""non_computable_reason""]",coronary bypass surgery,coronary bypass surgery,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_2 with score 4.56/5, improving by at least 0.25.",high
B__NCT00461136_exc__item9_C4__B_main_llm_rescue__temporal_context_recovery,B,NCT00461136_exc__item9_C4,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],percutaneous coronary intervention (PCI),percutaneous coronary intervention (PCI),exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=LLM_candidate_2 score 4.56/5; B_current score 4.38/5.,low
B__NCT00461136_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT00461136_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.25/5; B_current score 3.25/5.,low
B__NCT00461136_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT00461136_inc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,female,female,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT00461136_inc__item4_C3__B_main_llm_rescue__entity_regrounding,B,NCT00461136_inc__item4_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],surgical sterilization,surgical sterilization,exists,exists,null,null,,,,,partial,partial,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00461136_inc__item4_C4__B_main_llm_rescue__entity_regrounding,B,NCT00461136_inc__item4_C4,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],hysterectomy,hysterectomy,exists,exists,null,null,,,,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.75/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT00461136_inc__item5_C3__B_main_llm_rescue__value_or_operator_recovery,B,NCT00461136_inc__item5_C3,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""operator"", ""value"", ""value_type"", ""unit"", ""temporal_context""]",stable antihypertensive medications,stable antihypertensive medications,exists,>=,null,scalar,,8,,week,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.94/5). The best generated candidate was LLM_candidate_1 with score 4.44/5, improving by at least 0.25.",high
B__NCT00461136_inc__item6_C2__B_main_llm_rescue__entity_regrounding,B,NCT00461136_inc__item6_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],hypoglycemic medications,hypoglycemic medications,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.38/5; B_current score 2.38/5.,low
B__NCT00461136_inc__item8_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00461136_inc__item8_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],oral body temperature,oral body temperature,between,between,range,range,"{""min"": 35.0, ""max"": 37.5}","{""min"": 35.0, ""max"": 37.5}",°C,°C,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.88/5 >= 4.50/5); kept unchanged.,high
B__NCT00461136_inc__item9_C1__B_main_llm_rescue__history_context_recovery,B,NCT00461136_inc__item9_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text""]",able to provide written informed consent,provide written informed consent prior to study participation,exists,exists,null,null,,,,,non_computable,non_computable,pass,[],select_candidate,,,"B_current failed or was weaker (4.12/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT00625742_exc__item1_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00625742_exc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],dementia,dementia,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=LLM_candidate_2 score 4.44/5; B_current score 4.25/5.,low
B__NCT00625742_exc__item1_C2__B_main_llm_rescue__temporal_context_recovery,B,NCT00625742_exc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],delirium,delirium,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.44/5; B_current score 4.44/5.,low
B__NCT00625742_inc__item7_C2__B_main_llm_rescue__entity_regrounding,B,NCT00625742_inc__item7_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],continued weight loss despite therapy,continued weight loss despite therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=LLM_candidate_3 score 3.94/5; B_current score 3.62/5.,low
