document_id,criterion_id,branch,leaf_path,node_type,eligibility_type,status,entity_type,entity_text,operator,value,unit,value_type,evidence_text,item_text,source_text,layer1_needs_review,layer1_issue_count,layer1_issue_codes_json,layer1_policy_action_hint,layer1_policy_bucket,layer1_policy_severity,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_soft_warning_count,layer1_policy_execution_issue_count,branch_a_match_found,branch_a_entity_type,branch_a_entity_text,branch_a_operator,branch_a_value,branch_a_unit,branch_a_entity_type_agrees,branch_a_operator_agrees,branch_a_value_agrees,branch_a_unit_agrees,branch_a_entity_text_token_overlap,branch_a_agreement_n,entity_text_exact_in_evidence,entity_text_ci_in_evidence,entity_text_normalized_in_evidence,entity_text_exact_in_item,entity_text_ci_in_item,value_text_found_in_evidence,value_text_found_in_item,unit_text_found_in_evidence,operator_value_structurally_supported,quantitative_cue_present,quantitative_cue_unhandled,exists_with_quantitative_cue,value_missing_with_quantitative_cue,temporal_marker_in_evidence,temporal_context_present,temporal_marker_missing_context,history_marker_in_evidence,history_context_present,history_marker_missing_context,condition_or_exception_marker_in_evidence,condition_or_exception_context_present,condition_or_exception_marker_missing_context,generic_entity_text,temporal_context_json,history_context_json,condition_context,exception_context,computability,layer1_needs_llm_rescue_candidate,missing_pass2_clause_context,value_text
NCT03416413,NCT03416413_exc__item7_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[6].children[0],criterion,,,other,inability to complete questionnaires,exists,,,null,Inability or unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,inability to complete questionnaires,exists,,,1,1,1,1,1.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT03416413,NCT03416413_exc__item7_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[6].children[1],criterion,,,other,unwillingness to complete questionnaires,exists,,,null,Inability or unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,unwillingness to complete questionnaires,exists,,,1,1,1,1,1.0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT03416413,NCT03416413_exc__item8_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[7],criterion,,,other,ability to attend follow-up appointments,=,unable,,scalar,Inability to attend follow-up appointments,Inability to attend follow-up appointments,Inability to attend follow-up appointments,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,inability to attend follow-up appointments,exists,,,1,0,0,1,0.714286,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,unable
NCT03416413,NCT03416413_exc__item9_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[8],criterion,,,other,currently included in a study of varicose vein treatment,exists,,,null,Patient currently included in a study of varicose vein treatment,Patient currently included in a study of varicose vein treatment,Patient currently included in a study of varicose vein treatment,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,patient currently included in a study of varicose vein treatment,exists,,,1,1,1,1,0.9,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,current,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item1_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0].children[0],criterion,,,demographic,sex,=,male,,scalar,Male or female subjects,Male or female subjects aged =18 to =65 years,Male or female subjects aged =18 to =65 years,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,demographic,male subjects,exists,,,1,0,0,1,0.0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,male
NCT02121145,NCT02121145_inc__item1_C2,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0].children[1].children[0],criterion,,,demographic,sex,=,female,,scalar,female subjects,Male or female subjects aged =18 to =65 years,Male or female subjects aged =18 to =65 years,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,demographic,female subjects,exists,,,1,0,0,1,0.0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,female
NCT02121145,NCT02121145_inc__item1_C3,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0].children[1].children[1],criterion,,,demographic,age,between,"{""min"": 18, ""max"": 65}",year,range,aged =18 to =65 years,Male or female subjects aged =18 to =65 years,Male or female subjects aged =18 to =65 years,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,aged =18 to =65 years,=,,,0,0,0,0,0.0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,"{""min"": 18, ""max"": 65}"
NCT02121145,NCT02121145_inc__item2_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[1],criterion,,,observation,general good health,exists,,,null,General good health as established by medical history and physical examination,General good health as established by medical history and physical examination,General good health as established by medical history and physical examination,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,General good health,exists,,,0,1,1,1,1.0,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item3_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[2],criterion,,,other,written informed consent,exists,,,null,Written informed consent,Written informed consent,Written informed consent,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,written informed consent,exists,,,1,1,1,1,1.0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item4_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[3].children[0],criterion,,,therapy,efficacious hormonal method of birth control,exists,,,null,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,childbearing,exists,,,0,1,1,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""}",,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item4_C2,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[3].children[1],criterion,,,therapy,efficacious barrier method of birth control,exists,,,null,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,childbearing,exists,,,0,1,1,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""}",,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item4_C3,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[3].children[2],criterion,,,observation,abstinence,exists,,,null,Abstinence is acceptable.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,abstinence is acceptable,exists,,,0,1,1,1,0.333333,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT02121145,NCT02121145_inc__item5_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[4],criterion,,,other,available for all visits scheduled in this study,exists,,,null,Available for all visits scheduled in this study.,Available for all visits scheduled in this study.,Available for all visits scheduled in this study.,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,available for all visits scheduled in this study,exists,,,1,1,1,1,1.0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT02121145,NCT02121145_exc__item1_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[0],criterion,,,procedure,vaccination against typhoid fever,exists,,,null,Vaccination against typhoid fever within 5 years before dosing.,Primary groups: Vaccination against typhoid fever within 5 years before dosing.,Primary groups: Vaccination against typhoid fever within 5 years before dosing.,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,procedure,Vaccination against typhoid fever,exists,,,1,1,1,1,1.0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"{""relation"": ""within"", ""value"": 5, ""unit"": ""year"", ""anchor_event"": ""treatment_start""}",prior,,,partial,0,0,
NCT02121145,NCT02121145_exc__item2_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[1].children[0],criterion,,,condition,clinical typhoid fever,exists,,,null,History of clinical typhoid fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.","History of clinical typhoid fever, clinical paratyphoid A or B fever.",0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,clinical typhoid fever,exists,,,1,1,1,1,1.0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,prior,,,computable,0,0,
NCT02121145,NCT02121145_exc__item2_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[1].children[1],criterion,,,condition,clinical paratyphoid A fever,exists,,,null,clinical paratyphoid A or B fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.","History of clinical typhoid fever, clinical paratyphoid A or B fever.",0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,clinical paratyphoid A or B fever.,exists,,,1,1,1,1,0.666667,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,prior,,,computable,0,0,
NCT02121145,NCT02121145_exc__item2_C3,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[1].children[2],criterion,,,condition,clinical paratyphoid B fever,exists,,,null,clinical paratyphoid A or B fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.","History of clinical typhoid fever, clinical paratyphoid A or B fever.",0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,clinical paratyphoid A or B fever.,exists,,,1,1,1,1,0.666667,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,prior,,,computable,0,0,
NCT02121145,NCT02121145_exc__item3_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[2].children[0],criterion,,,procedure,immunization with any other vaccine (oral or parenteral),exists,,,null,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,1,1,"[""layer1c:temporal_anchor_mismatch_from_source""]",mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,hard_semantic:temporal_anchor_mismatch_from_source,1.0,1,0,0,1,procedure,Immunization with any other vaccine (,exists,,,1,1,1,1,0.625,5,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,"{""relation"": ""within"", ""value"": 4, ""unit"": ""week"", ""anchor_event"": ""treatment_start""}",prior,,,partial,1,0,
NCT02121145,NCT02121145_exc__item3_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[2].children[1],criterion,,,procedure,planned vaccination,exists,,,null,planned vaccination during the study,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,procedure,vaccination,exists,,,1,1,1,1,0.5,5,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"{""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""}",,,,non_computable,0,0,
NCT02121145,NCT02121145_exc__item4_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[3].children[0],criterion,,,drug,antibiotics,exists,,,null,Current intake of antibiotics,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,drug,antibiotics,exists,,,1,1,1,1,1.0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,current,,,computable,0,0,
NCT02121145,NCT02121145_exc__item4_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[3].children[1],criterion,,,therapy,end of antibiotic therapy,exists,,,null,end of antibiotic therapy <8 days before first IMP administration,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,procedure,antibiotic therapy,<,,days,0,0,1,0,0.5,2,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,"{""relation"": ""within"", ""value"": 8, ""unit"": ""day"", ""anchor_event"": ""treatment_start""}",prior,,,partial,0,0,
NCT02121145,NCT02121145_exc__item5_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4].children[0],criterion,,,drug,immunosuppressants (chronic administration >14 days),exists,,,null,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,drug,immunosuppressants,exists,,,1,1,1,1,0.2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",prior,,,partial,0,0,
NCT02121145,NCT02121145_exc__item5_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4].children[1],criterion,,,drug,other immune-modifying drugs (chronic administration >14 days),exists,,,null,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,drug,immune-modifying drugs,exists,,,1,1,1,1,0.375,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"{""relation"": ""within"", ""value"": 6, ""unit"": ""month"", ""anchor_event"": ""treatment_start""}",prior,,,partial,0,0,
NCT02121145,NCT02121145_exc__item5_C3,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4].children[2].children[0],criterion,,,drug,oral corticosteroids (prednisolone or equivalent) dose,>=,0.5,mg/kg/d,scalar,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,drug,oral corticosteroids,=,,mg/kg/d,1,0,0,1,0.333333,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,0.5
NCT02121145,NCT02121145_exc__item5_C4,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4].children[2].children[1],criterion,,,drug,inhaled steroids,not_exists,,,null,inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,1,1,"[""layer1d:positive_clause_with_not_exists_operator""]",mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,hard_semantic:positive_clause_with_not_exists_operator,1.0,1,0,0,1,other,inhaled steroids are allowed,exists,,,0,0,1,1,0.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,1,0,
NCT02121145,NCT02121145_exc__item5_C5,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4].children[3],criterion,,,drug,topical steroids,not_exists,,,null,inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine; oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded; inhaled or topical steroids are allowed,1,1,"[""layer1d:positive_clause_with_not_exists_operator""]",mandatory_verifier_candidate,hard_semantic_or_structural_issue,high,hard_semantic:positive_clause_with_not_exists_operator,1.0,1,0,0,1,other,topical steroids are allowed,exists,,,0,0,1,1,0.5,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,1,0,
NCT02121145,NCT02121145_exc__item6_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[5].children[0],criterion,,,condition,acute clinically significant gastrointestinal disease,exists,,,null,Acute or chronic clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,gastrointestinal disease,exists,,,1,1,1,1,0.4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,
NCT02121145,NCT02121145_exc__item6_C2,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[5].children[1],criterion,,,condition,chronic clinically significant gastrointestinal disease,exists,,,null,Acute or chronic clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,Acute or chronic clinically significant gastrointestinal disease,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,gastrointestinal disease,exists,,,1,1,1,1,0.4,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,
NCT02243553,NCT02243553_inc__item1_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0],criterion,,,other,signed informed consent,exists,,,null,Signed informed consent,Signed informed consent,Signed informed consent,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,signed informed consent,exists,,,1,1,1,1,1.0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
