dataset,branch,source_ast_file,document_id,criterion_type,item_uid,clause_id,criterion_id,tree_path,entity_type,entity_text,operator,value_type,value_json,unit,computability,non_computable_reason,evidence_text,clause_text,item_text,n_bert_anchors,n_bert_supports,best_anchor_text,best_anchor_label,best_anchor_score,best_anchor_start,best_anchor_end,best_anchor_mapped_entity_type,has_bert_anchor,entity_type_matches_best_anchor,entity_text_exact_in_evidence,entity_text_ci_in_evidence,entity_text_exact_in_item,entity_text_ci_in_item,entity_text_overlaps_best_anchor,best_anchor_token_overlap,any_anchor_token_overlap,entity_text_token_overlaps_best_anchor,entity_text_token_overlaps_any_anchor,entity_text_equals_best_anchor_text,entity_text_contains_best_anchor_text,best_anchor_text_contains_entity_text,support_labels_json,n_qualifier_supports,n_value_supports,n_temporal_supports,n_negation_supports,operator_category,operator_requires_value,scalar_value_present,range_has_min,range_has_max,range_has_any_bound,list_value_present,operator_value_structurally_supported,unit_present,value_text_found_in_evidence,unit_text_found_in_evidence,temporal_marker_in_evidence,temporal_context_present,temporal_relation,temporal_value_present,temporal_unit_present,temporal_anchor_event,temporal_marker_missing_context,history_marker_in_evidence,history_context_present,history_context,history_marker_missing_context,condition_marker_in_evidence,exception_marker_in_evidence,condition_context_present,exception_context_present,condition_marker_missing_context,exception_marker_missing_context,condition_or_exception_missing_context,computable_with_unhandled_condition_or_exception,provenance_present,source_modifier_text,source_condition_text,source_exception_context,history_context_hint,critical_qualifier_in_evidence,generic_entity_text,layer1_issue_count,layer1_issue_codes,layer1_issue_sources,layer1_policy_action_hint,layer1_policy_bucket,layer1_policy_severity,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_execution_issue_count,has_layer1_inventory_issue,has_layer1_policy_issue,has_layer1d_issue,quantitative_cue_in_evidence,exists_with_quantitative_cue,value_missing_with_quantitative_cue,quantitative_cue_unhandled
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item7,C1,NCT03416413_exc__item7_C1,exclusion_criteria/OR[6]/OR[0],other,inability to complete questionnaires,exists,null,null,,non_computable,Subjective or operational criterion.,Inability or unwillingness to complete questionnaires,inability to complete questionnaires,Inability or unwillingness to complete questionnaires,0,0,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item7,C2,NCT03416413_exc__item7_C2,exclusion_criteria/OR[6]/OR[1],other,unwillingness to complete questionnaires,exists,null,null,,non_computable,Subjective or operational criterion.,Inability or unwillingness to complete questionnaires,unwillingness to complete questionnaires,Inability or unwillingness to complete questionnaires,0,0,,,,,,,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item8,C1,NCT03416413_exc__item8_C1,exclusion_criteria/OR[7],other,inability to attend follow-up appointments,exists,null,null,,non_computable,Subjective or operational criterion.,Inability to attend follow-up appointments,inability to attend follow-up appointments,Inability to attend follow-up appointments,0,2,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,"{""Observation"": 2}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item9,C1,NCT03416413_exc__item9_C1,exclusion_criteria/OR[8],other,patient currently included in a study of varicose vein treatment,exists,null,null,,non_computable,Subjective or operational criterion.,Patient currently included in a study of varicose vein treatment,patient currently included in a study of varicose vein treatment,Patient currently included in a study of varicose vein treatment,0,0,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,current,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item1,C1,NCT02121145_inc__item1_C1,inclusion_criteria/AND[0]/OR[0],demographic,male subjects,exists,null,null,,computable,,Male or female subjects,male subjects,Male or female subjects aged =18 to =65 years,0,2,,,,,,,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,"{""Person"": 2}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item1,C2,NCT02121145_inc__item1_C2,inclusion_criteria/AND[0]/OR[1]/AND[0],demographic,female subjects,exists,null,null,,computable,,female subjects,female subjects,Male or female subjects aged =18 to =65 years,0,1,,,,,,,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,"{""Person"": 1}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item1,C3,NCT02121145_inc__item1_C3,inclusion_criteria/AND[0]/OR[1]/AND[1],other,aged =18 to =65 years,=,scalar,18,,computable,,aged =18 to =65 years,aged =18 to =65 years,Male or female subjects aged =18 to =65 years,0,2,,,,,,,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,"{""Person"": 1, ""Value"": 1}",0,1,0,0,comparison,1,1,0,0,0,0,1,0,1,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,1,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item2,C1,NCT02121145_inc__item2_C1,inclusion_criteria/AND[1],condition,General good health,exists,null,null,,computable,,General good health as established by medical history and physical examination,general good health as established by medical history and physical examination,General good health as established by medical history and physical examination,2,1,General good health,Condition,0.99429,0,19,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Qualifier"": 1}",1,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,as established by medical history,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item3,C1,NCT02121145_inc__item3_C1,inclusion_criteria/AND[2],other,written informed consent,exists,null,null,,non_computable,Subjective or operational criterion.,Written informed consent,written informed consent,Written informed consent,0,1,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,"{""Observation"": 1}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item4,C1,NCT02121145_inc__item4_C1,inclusion_criteria/AND[3]/OR[0],condition,childbearing,exists,null,null,,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,females of childbearing potential must agree to use an efficacious hormonal method of birth control during the study,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,2,5,childbearing,Condition,0.512426,11,23,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Mood"": 1, ""Observation"": 1, ""Person"": 1, ""Qualifier"": 1, ""Temporal"": 1}",1,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,1,1,during,0,0,baseline,0,0,0,,0,0,0,0,0,0,0,0,0,1,efficacious hormonal or barrier method of,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item4,C2,NCT02121145_inc__item4_C2,inclusion_criteria/AND[3]/OR[1],condition,childbearing,exists,null,null,,computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,females of childbearing potential must agree to use an efficacious barrier method of birth control during the study,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,2,5,childbearing,Condition,0.512426,11,23,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Mood"": 1, ""Observation"": 1, ""Person"": 1, ""Qualifier"": 1, ""Temporal"": 1}",1,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,1,1,during,0,0,baseline,0,0,0,,0,0,0,0,0,0,0,0,0,1,efficacious hormonal or barrier method of,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item4,C3,NCT02121145_inc__item4_C3,inclusion_criteria/AND[3]/OR[2],other,abstinence is acceptable,exists,null,null,,partial,Entity typing is weak and may require later review.,Abstinence is acceptable.,abstinence is acceptable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study. Abstinence is acceptable.,0,1,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,"{""Observation"": 1}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,inclusion,NCT02121145_inc__item5,C1,NCT02121145_inc__item5_C1,inclusion_criteria/AND[4],other,available for all visits scheduled in this study,exists,null,null,,partial,Entity typing is weak and may require later review.,Available for all visits scheduled in this study.,available for all visits scheduled in this study,Available for all visits scheduled in this study.,0,2,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,"{""Observation"": 1, ""Qualifier"": 1}",1,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,all visits scheduled in this study,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item1,C1,NCT02121145_exc__item1_C1,exclusion_criteria/OR[0],procedure,Vaccination against typhoid fever,exists,null,null,,computable,,Vaccination against typhoid fever within 5 years before dosing.,vaccination against typhoid fever within 5 years before dosing,Primary groups: Vaccination against typhoid fever within 5 years before dosing.,1,1,Vaccination against typhoid fever,Procedure,0.990272,16,49,procedure,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Temporal"": 1}",0,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,1,1,within,1,1,baseline,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,1,1,0,1
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item2,C1,NCT02121145_exc__item2_C1,exclusion_criteria/OR[1]/OR[0],condition,clinical typhoid fever,exists,null,null,,computable,,History of clinical typhoid fever,history of clinical typhoid fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",1,1,clinical typhoid fever,Condition,0.996014,11,33,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Observation"": 1}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,prior,0,0,0,0,0,0,0,0,0,1,,,,history,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item2,C2,NCT02121145_exc__item2_C2,exclusion_criteria/OR[1]/OR[1],condition,clinical paratyphoid A or B fever.,exists,null,null,,computable,,clinical paratyphoid A or B fever,history of clinical paratyphoid A fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",1,0,clinical paratyphoid A or B fever.,Condition,0.580982,35,69,condition,1,1,0,0,1,1,1,1.0,1.0,1,1,1,1,1,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,prior,0,0,0,0,0,0,0,0,0,1,,,,history,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item2,C3,NCT02121145_exc__item2_C3,exclusion_criteria/OR[1]/OR[2],condition,clinical paratyphoid A or B fever.,exists,null,null,,computable,,clinical paratyphoid A or B fever,history of clinical paratyphoid B fever,"History of clinical typhoid fever, clinical paratyphoid A or B fever.",1,0,clinical paratyphoid A or B fever.,Condition,0.580982,35,69,condition,1,1,0,0,1,1,1,1.0,1.0,1,1,1,1,1,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,prior,0,0,0,0,0,0,0,0,0,1,,,,history,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item3,C1,NCT02121145_exc__item3_C1,exclusion_criteria/OR[2]/OR[0],procedure,Immunization with any other vaccine (,exists,null,null,,computable,,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,1,3,Immunization with any other vaccine (,Procedure,0.972303,0,37,procedure,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Qualifier"": 2, ""Temporal"": 1}",2,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,1,1,within,1,1,treatment_start,0,1,0,,1,0,0,0,0,0,0,0,0,1,oral | parenteral,,,,0,0,3,layer1c:temporal_anchor_mismatch_from_source|policy:mandatory_rescue_or_review_candidate|temporal_anchor_mismatch_from_source,layer1_inventory|layer1_policy_branch_a,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,1.0,1,0,1,1,0,1,1,0,1
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item3,C2,NCT02121145_exc__item3_C2,exclusion_criteria/OR[2]/OR[1],procedure,vaccination,exists,null,null,,computable,,planned vaccination during the study,planned vaccination during the study,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start or planned vaccination during the study,1,2,vaccination,Procedure,0.98248,104,115,procedure,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Mood"": 1, ""Temporal"": 1}",0,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,1,1,during,0,0,baseline,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT02121145,exclusion,NCT02121145_exc__item4,C1,NCT02121145_exc__item4_C1,exclusion_criteria/OR[3]/OR[0],drug,antibiotics,exists,null,null,,computable,,Current intake of antibiotics,current intake of antibiotics,Current intake of antibiotics or end of antibiotic therapy <8 days before first IMP administration,1,2,antibiotics,Drug,0.990056,18,29,drug,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Multiplier"": 1, ""Temporal"": 1}",0,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,current,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
