branch,document_id,criterion_id,item_uid,clause_id,path,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,layer1a_issues,layer1b_flags,layer1c_warnings,layer1d_issues,all_layer1_codes,layer1_policy_bucket,layer1_policy_severity,layer1_policy_action_hint,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_soft_warning_count,layer1_policy_execution_issue_count
B,NCT02243553,NCT02243553_exc__item6_C3,NCT02243553_exc__item6,C3,exclusion_criteria.children[5].children[2],condition,clinically significant pulmonary disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C4,NCT02243553_exc__item6,C4,exclusion_criteria.children[5].children[3],condition,clinically significant endocrine disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C5,NCT02243553_exc__item6,C5,exclusion_criteria.children[5].children[4],condition,clinically significant immunological disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C6,NCT02243553_exc__item6,C6,exclusion_criteria.children[5].children[5],condition,clinically significant gastrointestinal disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C7,NCT02243553_exc__item6,C7,exclusion_criteria.children[5].children[6],condition,clinically significant hematological disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C8,NCT02243553_exc__item6,C8,exclusion_criteria.children[5].children[7],condition,clinically significant vascular disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C9,NCT02243553_exc__item6,C9,exclusion_criteria.children[5].children[8],condition,clinically significant collagen disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item7_C1,NCT02243553_exc__item7,C1,exclusion_criteria.children[6].children[0],condition,alcohol abuse,exists,null,,,computable,History of alcohol abuse,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item7_C2,NCT02243553_exc__item7,C2,exclusion_criteria.children[6].children[1],observation,illicit drug use,exists,null,,,partial,use of any illicit drugs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item8_C1,NCT02243553_exc__item8,C1,exclusion_criteria.children[7],observation,unable to abstain from more than one beer or alcohol equivalent per day,exists,range,"{""min"": null, ""max"": null}",,partial,Unable to abstain from more than one beer or alcohol equivalent per day for the duration of the study,existence_operator_with_non_null_value,,,,layer1a:existence_operator_with_non_null_value,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_structural:existence_operator_with_non_null_value,1.0,1,0,0
B,NCT02243553,NCT02243553_exc__item9_C1,NCT02243553_exc__item9,C1,exclusion_criteria.children[8].children[0],observation,use of tobacco products,exists,null,,,partial,Use of tobacco products and/or history of smoking within the past 2 months,,,duration_marker_missing_from_temporal_context;temporal_marker_without_temporal_context,,layer1c:duration_marker_missing_from_temporal_context;layer1c:temporal_marker_without_temporal_context,soft_semantic_warning,low_to_medium,continue_to_layer2_grounding_screen,soft_semantic:duration_marker_missing_from_temporal_context|temporal_marker_without_temporal_context,0.4,0,2,0
B,NCT02243553,NCT02243553_exc__item9_C2,NCT02243553_exc__item9,C2,exclusion_criteria.children[8].children[1],observation,history of smoking,exists,null,,,computable,Use of tobacco products and/or history of smoking within the past 2 months,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item10_C1,NCT02243553_exc__item10,C1,exclusion_criteria.children[9].children[0],condition,pregnant,exists,null,,,computable,Pregnant,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item10_C2,NCT02243553_exc__item10,C2,exclusion_criteria.children[9].children[1],observation,breast feeding,exists,null,,,computable,breast feeding,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item11_C1,NCT02243553_exc__item11,C1,exclusion_criteria.children[10].children[0],observation,sexually active,exists,null,,,partial,Sexually active women of childbearing age who do not use an acceptable barrier method of birth control,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item11_C2,NCT02243553_exc__item11,C2,exclusion_criteria.children[10].children[1],demographic,woman of childbearing age,exists,null,,,partial,Sexually active women of childbearing age who do not use an acceptable barrier method of birth control,,,critical_qualifier_missing_from_entity,,layer1c:critical_qualifier_missing_from_entity,soft_semantic_warning,low_to_medium,continue_to_layer2_grounding_screen,soft_semantic:critical_qualifier_missing_from_entity,0.4,0,1,0
B,NCT02243553,NCT02243553_exc__item11_C3,NCT02243553_exc__item11,C3,exclusion_criteria.children[10].children[2],therapy,acceptable barrier method of birth control,not_exists,null,,,partial,do not use an acceptable barrier method of birth control,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
